title,release_date_rt,year,genres_rt,rating_rt_audience
carny,1980-06-13,1980,"['Drama', 'Horror']",52.0
carrie,1976-11-16,1976,['Horror'],77.0
casablanca,1942-11-26,1942,"['Classics', 'Drama', 'Romance']",95.0
casino royale,1967-04-27,1967,"['Action & Adventure', 'Classics', 'Comedy']",34.0
cat and the canary,1927-09-09,1927,"['Classics', 'Horror', 'Mystery & Suspense']",74.0
cat on a hot tin roof,1958-09-20,1958,"['Classics', 'Drama']",92.0
cat people,1942-12-06,1942,"['Drama', 'Horror', 'Romance']",73.0
cat people,1982-04-02,1982,"['Drama', 'Horror', 'Mystery & Suspense']",46.0
caught,1949-01-01,1949,"['Classics', 'Drama', 'Mystery & Suspense']",78.0
champ,1979-03-20,1979,"['Drama', 'Sports & Fitness']",82.0
champion,1949-01-01,1949,"['Classics', 'Drama']",74.0
charade,1963-12-05,1963,"['Classics', 'Comedy', 'Drama', 'Mystery & Suspense']",92.0
charlottes web,1973-02-22,1973,"['Animation', 'Kids & Family']",67.0
chase,1966-02-17,1966,"['Classics', 'Drama']",74.0
checking out,1989-04-21,1989,['Comedy'],18.0
children of the corn,1984-01-01,1984,"['Cult Movies', 'Horror', 'Mystery & Suspense']",40.0
chosen,1981-08-01,1981,['Drama'],79.0
christmas carol,1938-12-16,1938,"['Classics', 'Drama', 'Kids & Family', 'Science Fiction & Fantasy']",74.0
christmas in connecticut,1945-01-01,1945,"['Classics', 'Comedy']",75.0
christmas story,1983-11-18,1983,"['Comedy', 'Drama', 'Kids & Family']",88.0
cimarron,1931-01-26,1931,"['Classics', 'Drama', 'Western']",25.0
cleopatra,1963-06-12,1963,"['Classics', 'Drama']",69.0
college,1927-09-10,1927,"['Classics', 'Comedy', 'Romance']",73.0
colors,1988-04-15,1988,"['Action & Adventure', 'Drama']",72.0
coma,1978-01-06,1978,"['Action & Adventure', 'Mystery & Suspense']",66.0
commando,1985-10-04,1985,['Action & Adventure'],67.0
convoy,1978-06-28,1978,"['Action & Adventure', 'Drama']",73.0
countdown,1968-02-01,1968,"['Action & Adventure', 'Documentary', 'Drama', 'Mystery & Suspense', 'Science Fiction & Fantasy']",27.0
country girl,1954-12-15,1954,"['Classics', 'Drama']",77.0
cover girl,1944-03-30,1944,"['Classics', 'Comedy', 'Musical & Performing Arts', 'Romance']",70.0
creature from the black lagoon,1954-03-05,1954,"['Classics', 'Cult Movies', 'Horror', 'Science Fiction & Fantasy']",73.0
crossroads,1986-03-14,1986,['Drama'],82.0
cutting class,1989-07-01,1989,"['Comedy', 'Drama', 'Horror']",22.0
damn yankees,1958-09-26,1958,"['Classics', 'Comedy', 'Drama', 'Musical & Performing Arts', 'Science Fiction & Fantasy']",69.0
dangerous,1935-01-01,1935,"['Classics', 'Drama']",61.0
dangerous liaisons,1988-01-01,1988,['Drama'],83.0
dark mirror,1946-10-18,1946,"['Drama', 'Mystery & Suspense']",56.0
darling,1965-01-01,1965,"['Art House & International', 'Classics', 'Comedy', 'Drama', 'Romance']",71.0
day of the dead,1985-07-03,1985,['Horror'],75.0
day the earth stood still,1951-01-01,1951,"['Classics', 'Drama', 'Science Fiction & Fantasy']",87.0
days of wine and roses,1962-12-26,1962,"['Classics', 'Drama']",88.0
dead heat,1988-05-06,1988,"['Action & Adventure', 'Comedy', 'Horror', 'Mystery & Suspense']",49.0
dead reckoning,1947-01-01,1947,"['Classics', 'Drama', 'Mystery & Suspense']",66.0
death in venice,1971-03-01,1971,['Drama'],81.0
death of a salesman,1985-09-15,1985,"['Drama', 'Television']",75.0
demoni demons,1985-10-04,1985,"['Art House & International', 'Horror']",65.0
desperate hours,1955-01-01,1955,"['Classics', 'Drama', 'Mystery & Suspense']",79.0
devil doll,1964-01-01,1964,"['Classics', 'Horror']",28.0
dillinger,1973-07-20,1973,"['Action & Adventure', 'Drama', 'Mystery & Suspense']",73.0
dinner at eight,1933-08-23,1933,"['Classics', 'Comedy', 'Drama', 'Romance']",74.0
distant thunder,1988-11-11,1988,['Drama'],45.0
doctor zhivago,1965-12-22,1965,"['Classics', 'Drama', 'Television', 'Romance']",88.0
dodge city,1939-04-08,1939,"['Classics', 'Western']",74.0
dolls,1987-03-01,1987,['Horror'],51.0
dr jekyll and mr hyde,1931-12-31,1931,"['Drama', 'Horror']",80.0
how the grinch stole christmas,1967-06-01,1967,"['Animation', 'Classics', 'Comedy', 'Kids & Family', 'Musical & Performing Arts', 'Television']",98.0
dracula,1931-01-01,1931,"['Classics', 'Horror']",81.0
dracula,1973-02-08,1973,"['Horror', 'Mystery & Suspense']",43.0
dracula,1979-07-20,1979,"['Art House & International', 'Drama', 'Horror', 'Romance']",58.0
dragnet,,,"['Action & Adventure', 'Comedy']",41.0
dream team,1989-04-07,1989,['Comedy'],61.0
dressed to kill,1980-01-01,1980,"['Drama', 'Horror', 'Mystery & Suspense']",74.0
duel,1972-01-01,1972,"['Mystery & Suspense', 'Television']",84.0
dune,1984-12-14,1984,['Science Fiction & Fantasy'],66.0
eagle has landed,,,"['Action & Adventure', 'Art House & International', 'Mystery & Suspense']",67.0
east of eden,1955-04-10,1955,"['Classics', 'Drama']",90.0
easy money,1983-08-19,1983,"['Action & Adventure', 'Comedy']",58.0
eaten alive,1977-06-30,1977,"['Horror', 'Mystery & Suspense']",30.0
edipo re oedipus rex,1967-09-07,1967,"['Art House & International', 'Drama']",77.0
elephant man,1980-10-03,1980,['Drama'],93.0
enforcer,1976-01-01,1976,"['Action & Adventure', 'Drama', 'Mystery & Suspense']",59.0
enforcer,1951-02-24,1951,"['Classics', 'Drama', 'Mystery & Suspense']",70.0
escape from new york,1981-01-01,1981,"['Action & Adventure', 'Science Fiction & Fantasy']",77.0
exodus,1960-12-15,1960,"['Classics', 'Drama']",69.0
eyewitness,1981-02-13,1981,"['Horror', 'Mystery & Suspense']",38.0
fahrenheit 451,1966-11-02,1966,"['Classics', 'Science Fiction & Fantasy']",72.0
fan,1981-05-15,1981,"['Drama', 'Mystery & Suspense']",32.0
fandango,1985-01-25,1985,"['Comedy', 'Drama']",78.0
far from the madding crowd,1967-10-18,1967,"['Drama', 'Romance']",76.0
farewell my lovely,1975-08-20,1975,"['Classics', 'Drama', 'Mystery & Suspense']",73.0
fatal attraction,1987-09-11,1987,"['Drama', 'Mystery & Suspense']",72.0
father of the bride,1950-01-01,1950,"['Classics', 'Comedy', 'Drama']",74.0
fire and ice,1983-08-26,1983,"['Action & Adventure', 'Animation', 'Cult Movies', 'Science Fiction & Fantasy']",53.0
flash gordon,1980-12-05,1980,"['Action & Adventure', 'Comedy', 'Science Fiction & Fantasy']",69.0
flashback,1990-02-02,1990,['Comedy'],60.0
flesh blood fleshblood the rose and the sword,1985-08-30,1985,"['Action & Adventure', 'Drama']",63.0
flight of the phoenix,1965-12-15,1965,"['Action & Adventure', 'Classics', 'Drama']",81.0
flipper,1963-08-14,1963,"['Action & Adventure', 'Classics', 'Drama', 'Kids & Family', 'Television']",49.0
fly,1958-07-16,1958,"['Classics', 'Horror', 'Mystery & Suspense', 'Science Fiction & Fantasy']",70.0
fly,1986-08-15,1986,"['Drama', 'Horror', 'Science Fiction & Fantasy']",83.0
flying tigers,1942-01-01,1942,"['Action & Adventure', 'Classics', 'Drama']",68.0
footloose,1984-02-17,1984,"['Drama', 'Musical & Performing Arts', 'Romance']",71.0
four feathers,1939-08-03,1939,"['Action & Adventure', 'Art House & International', 'Classics']",85.0
frantic,1988-02-26,1988,"['Action & Adventure', 'Drama', 'Mystery & Suspense']",64.0
freaky friday,1976-12-17,1976,"['Comedy', 'Kids & Family', 'Science Fiction & Fantasy']",57.0
fright night,1985-01-01,1985,['Horror'],76.0
from here to eternity,1953-08-05,1953,"['Classics', 'Drama', 'Romance']",84.0
frosty the snowman,1969-12-07,1969,"['Animation', 'Kids & Family']",72.0
fugitive,1947-11-03,1947,['Drama'],61.0
fun with dick and jane,,,['Comedy'],51.0
funny farm,1988-06-03,1988,['Comedy'],50.0
fury,1978-01-01,1978,"['Drama', 'Horror', 'Mystery & Suspense', 'Science Fiction & Fantasy']",49.0
galaxy of terror mindwarp an infinity of terror planet of horrors quest,1981-10-21,1981,"['Action & Adventure', 'Horror', 'Mystery & Suspense', 'Science Fiction & Fantasy']",29.0
gallipoli,1981-08-07,1981,"['Art House & International', 'Drama']",83.0
gambler,1974-01-01,1974,"['Classics', 'Drama']",77.0
game of death,1978-03-01,1978,"['Action & Adventure', 'Art House & International']",64.0
general,1927-02-05,1927,"['Comedy', 'Drama', 'Romance']",92.0
getaway,1972-12-13,1972,"['Action & Adventure', 'Classics', 'Drama']",81.0
girls girls girls,1962-11-21,1962,"['Classics', 'Comedy', 'Musical & Performing Arts', 'Special Interest', 'Romance']",50.0
gloria,1980-10-01,1980,"['Action & Adventure', 'Comedy', 'Drama', 'Mystery & Suspense']",80.0
glory,1989-12-15,1989,['Drama'],93.0
go west,1940-06-01,1940,"['Classics', 'Comedy', 'Musical & Performing Arts', 'Western']",59.0
gone in 60 seconds,1974-07-28,1974,"['Action & Adventure', 'Cult Movies', 'Drama', 'Mystery & Suspense']",66.0
goodbye girl,1977-11-30,1977,"['Comedy', 'Romance']",84.0
goodbye mr chips,1939-07-28,1939,"['Art House & International', 'Classics', 'Comedy', 'Drama', 'Romance']",87.0
great gatsby,1974-03-29,1974,"['Classics', 'Drama', 'Romance']",47.0
great race,1965-07-01,1965,"['Action & Adventure', 'Classics', 'Comedy', 'Kids & Family', 'Romance']",83.0
green berets,1968-06-19,1968,"['Action & Adventure', 'Classics', 'Drama']",61.0
grizzly,1976-05-21,1976,"['Horror', 'Mystery & Suspense']",31.0
group,1966-03-04,1966,['Drama'],58.0
gullivers travels,1939-12-22,1939,"['Action & Adventure', 'Animation', 'Classics', 'Comedy', 'Kids & Family']",53.0
gunfighter,1950-06-23,1950,"['Action & Adventure', 'Drama', 'Western']",89.0
gung ho,1986-03-14,1986,['Comedy'],46.0
gypsy,1962-01-01,1962,"['Classics', 'Musical & Performing Arts']",74.0
hairspray,1988-02-26,1988,"['Comedy', 'Drama', 'Musical & Performing Arts']",80.0
halloween,1978-10-25,1978,"['Horror', 'Mystery & Suspense']",89.0
hamlet,1948-05-04,1948,"['Classics', 'Drama']",80.0
hand,1981-04-24,1981,"['Drama', 'Horror']",28.0
hard times,,,"['Action & Adventure', 'Classics', 'Drama']",81.0
hardcore,1979-01-01,1979,['Drama'],67.0
harder they fall,1956-01-01,1956,"['Classics', 'Drama', 'Mystery & Suspense']",80.0
haunting,1963-09-18,1963,"['Classics', 'Horror']",82.0
hawaii,1966-10-10,1966,"['Action & Adventure', 'Classics', 'Drama']",53.0
heat,1986-11-12,1986,"['Action & Adventure', 'Drama']",26.0
heaven,1987-04-17,1987,"['Documentary', 'Special Interest']",67.0
heaven can wait,1978-06-28,1978,"['Comedy', 'Science Fiction & Fantasy', 'Romance', 'Sports & Fitness']",68.0
heidi,1937-10-15,1937,"['Action & Adventure', 'Classics', 'Drama', 'Kids & Family']",74.0
hidden fortress kakushitoride no sanakunin,1958-01-01,1958,"['Action & Adventure', 'Art House & International', 'Classics', 'Drama']",93.0
hills have eyes,1977-07-22,1977,"['Horror', 'Mystery & Suspense']",54.0
hindenburg,1975-01-01,1975,"['Action & Adventure', 'Drama', 'Mystery & Suspense']",37.0
hit,1984-09-12,1984,"['Action & Adventure', 'Comedy', 'Drama', 'Mystery & Suspense']",75.0
hole in the head,1959-07-15,1959,"['Classics', 'Comedy', 'Drama', 'Musical & Performing Arts']",49.0
hot pursuit,1987-05-08,1987,['Comedy'],43.0
100 bloody acres,2013-06-28,2013,"['Comedy', 'Horror']",47.0
100 girls,2000-09-01,2000,"['Comedy', 'Romance']",50.0
100 streets,2017-01-13,2017,['Drama'],36.0
hound of the baskervilles,1939-03-31,1939,"['Classics', 'Drama', 'Horror', 'Mystery & Suspense']",83.0
hound of the baskervilles,1959-07-03,1959,"['Art House & International', 'Classics', 'Mystery & Suspense']",72.0
house ding dong youre dead,1986-02-28,1986,"['Comedy', 'Horror']",46.0
house of wax,1953-04-10,1953,"['Drama', 'Horror', 'Mystery & Suspense']",72.0
house on haunted hill,1959-02-17,1959,"['Classics', 'Drama', 'Horror']",73.0
hud,1963-05-29,1963,"['Classics', 'Drama']",89.0
human factor,1979-12-18,1979,"['Drama', 'Mystery & Suspense', 'Romance']",23.0
hunchback of notre dame,1923-09-02,1923,"['Classics', 'Drama', 'Horror', 'Special Interest']",76.0
hunchback of notre dame,,,"['Classics', 'Drama', 'Romance']",87.0
hunter,1980-10-01,1980,"['Action & Adventure', 'Drama', 'Mystery & Suspense', 'Television']",49.0
hustle,1975-12-25,1975,"['Action & Adventure', 'Classics', 'Drama', 'Mystery & Suspense']",48.0
i the jury,1982-04-22,1982,"['Action & Adventure', 'Drama', 'Mystery & Suspense']",39.0
imitation of life,1959-04-30,1959,"['Classics', 'Drama']",91.0
importance of being earnest,,,"['Classics', 'Comedy']",83.0
impulse,1990-04-06,1990,"['Action & Adventure', 'Drama', 'Mystery & Suspense']",21.0
in cold blood,1967-12-14,1967,['Drama'],88.0
incubus,1982-09-03,1982,"['Horror', 'Mystery & Suspense']",22.0
indiscreet,1958-05-20,1958,"['Classics', 'Comedy', 'Romance']",69.0
informer,1935-05-01,1935,"['Classics', 'Drama']",77.0
inherit the wind,1960-11-01,1960,"['Classics', 'Drama', 'Faith & Spirituality']",91.0
intolerance,1916-09-05,1916,['Classics'],77.0
invaders from mars,1953-04-22,1953,"['Classics', 'Science Fiction & Fantasy']",56.0
invaders from mars,1986-06-06,1986,"['Horror', 'Mystery & Suspense', 'Science Fiction & Fantasy']",33.0
invasion of the body snatchers,1956-01-01,1956,"['Classics', 'Mystery & Suspense', 'Science Fiction & Fantasy']",85.0
invasion of the body snatchers,1978-12-22,1978,"['Horror', 'Mystery & Suspense', 'Science Fiction & Fantasy']",81.0
invisible man,1933-11-13,1933,"['Classics', 'Comedy', 'Horror', 'Science Fiction & Fantasy']",85.0
island,1980-06-13,1980,"['Drama', 'Horror', 'Mystery & Suspense']",51.0
island of dr moreau,1977-07-13,1977,"['Action & Adventure', 'Horror', 'Mystery & Suspense', 'Science Fiction & Fantasy']",40.0
islands in the stream,1977-03-09,1977,['Drama'],63.0
it,1927-02-15,1927,"['Classics', 'Comedy', 'Drama', 'Romance']",81.0
its alive,1973-12-31,1973,"['Classics', 'Drama', 'Horror', 'Mystery & Suspense']",40.0
ivanhoe,1952-07-31,1952,"['Action & Adventure', 'Art House & International', 'Classics', 'Drama', 'Romance']",64.0
jack and the beanstalk,1952-04-12,1952,"['Classics', 'Comedy', 'Kids & Family', 'Musical & Performing Arts', 'Science Fiction & Fantasy']",38.0
jack frost,1979-12-13,1979,"['Animation', 'Kids & Family', 'Musical & Performing Arts', 'Television']",61.0
jamaica inn,1939-10-13,1939,"['Action & Adventure', 'Art House & International', 'Classics', 'Mystery & Suspense']",36.0
jason and the argonauts,1963-06-19,1963,"['Action & Adventure', 'Classics', 'Kids & Family', 'Science Fiction & Fantasy']",79.0
jazz singer,1927-10-06,1927,"['Classics', 'Drama', 'Musical & Performing Arts']",56.0
jazz singer,1980-12-19,1980,"['Drama', 'Musical & Performing Arts']",70.0
jesus christ superstar,1973-08-15,1973,"['Drama', 'Musical & Performing Arts', 'Faith & Spirituality']",76.0
johnny belinda,1948-09-14,1948,"['Classics', 'Drama']",88.0
judex,1963-12-04,1963,"['Action & Adventure', 'Art House & International', 'Classics', 'Drama']",82.0
julius caesar,1953-06-03,1953,"['Classics', 'Drama', 'Mystery & Suspense']",81.0
julius caesar,1970-01-01,1970,"['Action & Adventure', 'Art House & International', 'Classics', 'Drama']",35.0
jungle book,1942-01-01,1942,"['Action & Adventure', 'Classics', 'Drama']",56.0
kansas,1988-01-01,1988,"['Action & Adventure', 'Drama', 'Mystery & Suspense']",19.0
kickboxer,1989-09-08,1989,"['Action & Adventure', 'Drama']",65.0
kid galahad,1962-01-01,1962,"['Classics', 'Drama', 'Musical & Performing Arts']",57.0
killer elite,1975-12-17,1975,"['Action & Adventure', 'Drama', 'Mystery & Suspense']",34.0
king and i,1956-06-29,1956,"['Classics', 'Musical & Performing Arts', 'Romance']",83.0
king kong,1933-01-01,1933,"['Action & Adventure', 'Classics', 'Horror']",86.0
king kong,1976-12-17,1976,"['Action & Adventure', 'Horror', 'Science Fiction & Fantasy']",31.0
king of comedy,1983-01-01,1983,"['Comedy', 'Drama', 'Mystery & Suspense']",90.0
king of kings,1961-10-30,1961,"['Classics', 'Drama', 'Faith & Spirituality']",77.0
king solomons mines,1950-11-24,1950,"['Action & Adventure', 'Classics', 'Drama']",59.0
lady vanishes,1938-11-01,1938,"['Classics', 'Mystery & Suspense']",88.0
ladykillers,1955-12-08,1955,"['Art House & International', 'Classics', 'Comedy', 'Drama', 'Mystery & Suspense']",87.0
laura,1944-10-11,1944,"['Classics', 'Mystery & Suspense']",90.0
legend,1985-04-18,1985,"['Drama', 'Science Fiction & Fantasy']",73.0
miserables,1935-04-20,1935,"['Classics', 'Drama']",85.0
letter,1940-11-23,1940,"['Classics', 'Drama']",82.0
lilies of the field,1963-01-01,1963,"['Classics', 'Comedy', 'Drama']",86.0
lion in winter,1968-10-30,1968,"['Classics', 'Drama']",90.0
little drummer boy,,,"['Animation', 'Art House & International', 'Kids & Family']",57.0
little lord fauntleroy,1936-04-02,1936,"['Classics', 'Drama', 'Kids & Family']",73.0
little princess,1939-03-10,1939,"['Classics', 'Comedy', 'Drama', 'Kids & Family', 'Musical & Performing Arts']",81.0
little romance,1979-04-27,1979,"['Art House & International', 'Comedy', 'Drama', 'Romance']",85.0
little shop of horrors,1960-09-14,1960,"['Classics', 'Comedy', 'Cult Movies', 'Horror']",55.0
little shop of horrors,1986-12-19,1986,"['Comedy', 'Horror', 'Musical & Performing Arts', 'Science Fiction & Fantasy']",79.0
little women,1933-11-16,1933,"['Classics', 'Drama', 'Kids & Family', 'Romance']",78.0
little women,1949-03-10,1949,"['Classics', 'Drama', 'Kids & Family', 'Romance']",83.0
lock up,1989-08-04,1989,"['Action & Adventure', 'Drama', 'Mystery & Suspense']",50.0
lolita,1962-06-13,1962,"['Classics', 'Comedy', 'Drama']",84.0
long days journey into night,1962-01-01,1962,"['Classics', 'Drama']",86.0
long hot summer,1958-01-01,1958,"['Classics', 'Drama']",82.0
longest yard,1974-08-30,1974,"['Action & Adventure', 'Classics', 'Comedy', 'Drama']",75.0
look back in anger,1958-01-01,1958,"['Art House & International', 'Classics', 'Drama']",76.0
lost patrol,1934-02-16,1934,"['Action & Adventure', 'Classics', 'Drama']",65.0
love bug,1969-03-13,1969,"['Action & Adventure', 'Classics', 'Comedy', 'Kids & Family', 'Science Fiction & Fantasy']",66.0
lovesick,1983-02-18,1983,"['Comedy', 'Romance']",29.0
lust for life,1956-01-01,1956,"['Classics', 'Drama']",81.0
m,1931-08-31,1931,"['Art House & International', 'Drama', 'Mystery & Suspense']",95.0
madame x,1966-04-27,1966,"['Art House & International', 'Classics', 'Drama']",80.0
made in heaven,,,"['Comedy', 'Drama', 'Science Fiction & Fantasy', 'Romance']",83.0
magic flute trollflojten,1975-11-11,1975,"['Art House & International', 'Comedy', 'Musical & Performing Arts', 'Science Fiction & Fantasy', 'Television', 'Romance']",85.0
magnificent ambersons,1942-07-10,1942,"['Classics', 'Drama']",85.0
magnificent seven,1960-01-01,1960,"['Action & Adventure', 'Classics', 'Drama', 'Western']",87.0
main event,1979-06-22,1979,"['Comedy', 'Special Interest', 'Romance']",42.0
maltese falcon,1941-10-18,1941,"['Drama', 'Mystery & Suspense']",91.0
man for all seasons,1966-12-12,1966,"['Classics', 'Drama']",87.0
manchurian candidate,1962-10-24,1962,"['Classics', 'Drama', 'Mystery & Suspense']",90.0
manhattan project,1986-06-13,1986,"['Action & Adventure', 'Drama', 'Mystery & Suspense', 'Science Fiction & Fantasy']",46.0
manhunter,1986-08-15,1986,"['Action & Adventure', 'Mystery & Suspense']",77.0
mannequin,1987-02-13,1987,"['Comedy', 'Science Fiction & Fantasy', 'Romance']",55.0
mark of zorro,1920-12-05,1920,"['Action & Adventure', 'Classics', 'Western', 'Romance']",71.0
marty,1955-04-11,1955,"['Classics', 'Drama', 'Romance']",87.0
masquerade,1988-03-11,1988,"['Horror', 'Mystery & Suspense', 'Romance']",50.0
