title,release_date_meta,year,rating_metacritic
southern comfort,2001-02-23,2001,78
skeleton key,2005-08-12,2005,47
mr brooks,2007-06-01,2007,45
ninth gate,2000-03-10,2000,44
kate leopold,2001-12-21,2001,44
last action hero,1993-06-18,1993,44
kingpin,1996-04-26,1996,43
scrooged,1988-11-23,1988,38
torque,2004-01-16,2004,41
collateral damage,2002-02-08,2002,33
radio,2003-10-24,2003,38
jack,1996-08-09,1996,31
suicide kings,1998-04-17,1998,43
minus man,1999-09-10,1999,56
city by the sea,2002-09-06,2002,50
basic,2003-03-28,2003,34
venom,2005-09-16,2005,25
mvp most valuable primate,2000-10-20,2000,43
last men in aleppo,2017-05-03,2017,80
dirty girl,2011-10-07,2011,37
trapped,2002-09-20,2002,42
professor,2019-05-17,2019,37
duets,2000-09-15,2000,40
dot the i,2005-03-11,2005,39
twice born,2013-12-06,2013,34
snipes,2002-09-20,2002,32
great outdoors,1988-06-17,1988,24
perfect game,2010-04-16,2010,42
bright,2017-12-22,2017,29
predator,1987-06-12,1987,45
only god forgives,2013-07-19,2013,37
blade,1998-08-21,1998,45
speed racer,2008-05-09,2008,37
upside down,2013-03-15,2013,45
bill teds excellent adventure,1989-02-17,1989,44
return,2006-11-10,2006,38
patch adams,1998-12-25,1998,25
redemption,2013-06-28,2013,43
malibus most wanted,2003-04-18,2003,43
one night with the king,2006-10-13,2006,38
no one lives,2013-05-10,2013,26
soul survivors,2001-09-07,2001,20
america freedom to fascism,2006-07-28,2006,43
before we go,2015-09-04,2015,31
next best thing,2000-03-03,2000,25
kikujiro no natsu,2000-05-26,2000,44
abandoned,2016-01-08,2016,32
sleepwalkers,1992-04-10,1992,38
sugar spice,2001-01-26,2001,48
new rose hotel,1999-10-08,1999,31
brand a second coming,2015-09-25,2015,63
izzy gets the fck across town,2018-06-22,2018,51
this thing of ours,2003-07-18,2003,36
two can play that game,2001-09-07,2001,35
silver bullet,1985-10-11,1985,26
zen noir,2006-09-22,2006,27
say uncle,2006-06-23,2006,31
miral,2011-03-25,2011,45
year by the sea,2017-09-08,2017,43
devil,2010-09-17,2010,44
booksmart,2019-05-24,2019,84
little fockers,2010-12-22,2010,27
man on fire,2004-04-23,2004,47
possession,2012-08-31,2012,45
kicking screaming,2005-05-13,2005,45
payback,1999-02-05,1999,46
big daddy,1999-06-25,1999,41
covenant,2006-09-08,2006,19
blue streak,1999-09-17,1999,46
cinderella story,2004-07-16,2004,25
postal,2008-05-23,2008,22
oogieloves in the big balloon adventure,2012-08-29,2012,32
case 39,2010-10-01,2010,25
unknown,2006-11-03,2006,44
long kiss goodnight,1996-10-11,1996,44
boys and girls,2000-06-16,2000,29
legend of bagger vance,2000-11-03,2000,47
van wilder,2002-04-05,2002,26
collide,2017-02-24,2017,33
war inc,2008-05-23,2008,37
cold creek manor,2003-09-19,2003,37
thunderbirds,2004-07-30,2004,36
november,2005-07-22,2005,47
cradle 2 the grave,2003-02-28,2003,36
friday the 13th part 2,1981-05-01,1981,26
down to you,2000-01-21,2000,13
friday the 13th part viii jason takes manhattan,1989-07-28,1989,14
kids in america,2005-10-21,2005,38
maximum overdrive,1986-07-25,1986,24
lost found,1999-04-23,1999,19
amityville horror,1979-07-27,1979,28
i will follow you into the dark,2013-10-11,2013,17
adventures of ford fairlane,1990-07-11,1990,24
committed,2000-04-28,2000,44
american tail,1986-11-21,1986,38
running free,2000-06-02,2000,22
burzynski,2010-06-04,2010,24
mummy,1999-05-07,1999,48
donnie brasco,1997-02-28,1997,76
doa dead or alive,2007-06-15,2007,38
criminal,2016-04-15,2016,36
whole nine yards,2000-02-18,2000,47
s1m0ne,2002-08-23,2002,49
just like heaven,2005-09-16,2005,47
pokemon the first movie mewtwo strikes back,1999-11-10,1999,35
primal fear,1996-04-03,1996,47
heartbreakers,2001-03-23,2001,47
boiler room,2000-02-18,2000,63
mr woodcock,2007-09-14,2007,41
weird science,1985-08-02,1985,46
tideland,2006-10-13,2006,26
exit wounds,2001-03-16,2001,39
enough,2002-05-24,2002,25
misconduct,2016-02-05,2016,24
mad city,1997-11-07,1997,45
human race,2014-06-13,2014,32
prince and me,2004-04-02,2004,47
childs play 2,1990-11-09,1990,37
see spot run,2001-03-02,2001,24
heart is deceitful above all things,2006-03-10,2006,27
some kind of beautiful,2015-08-21,2015,11
urban hymn,2017-05-12,2017,51
willow,1988-05-20,1988,47
benji,2018-03-16,2018,53
standing still,2006-04-21,2006,38
scribbler,2014-09-19,2014,32
mrs winterbourne,1996-04-19,1996,35
daredevil,2003-02-14,2003,42
boogie nights,1997-10-10,1997,85
ouija,2014-10-24,2014,38
son of the mask,2005-02-18,2005,20
chronicles of riddick,2004-06-11,2004,38
you me and dupree,2006-07-14,2006,46
death wish,2018-03-02,2018,31
girl next door,2004-04-09,2004,47
i am not your negro,2016-12-09,2016,95
grandmas boy,2006-01-06,2006,33
jeepers creepers ii,2003-08-29,2003,36
stand up guys,2012-12-14,2012,41
risky business,1983-08-05,1983,75
guess who,2005-03-25,2005,49
choke,2008-09-26,2008,47
i am sam,2001-12-28,2001,28
win a date with tad hamilton,2004-01-23,2004,52
be cool,2005-03-04,2005,37
strange wilderness,2008-02-01,2008,12
would you rather,2013-02-08,2013,20
life of david gale,2003-02-21,2003,31
club dread,2004-02-27,2004,45
josie and the pussycats,2001-04-11,2001,47
hard to be a god,2015-01-30,2015,90
for greater glory,2012-06-01,2012,35
hoodlum,1997-08-27,1997,50
200 cigarettes,1999-02-26,1999,33
little ashes,2009-05-08,2009,41
arizona,2018-08-24,2018,41
forever strong,2008-09-26,2008,37
captain corellis mandolin,2001-08-17,2001,36
bridge of san luis rey,2005-06-10,2005,25
house of d,2005-04-15,2005,33
plunkett macleane,1999-10-01,1999,44
motherhood,2009-10-23,2009,34
waiting for forever,2011-02-04,2011,26
evidence,2013-07-19,2013,14
testosterone,2004-09-10,2004,34
home fries,1998-11-25,1998,45
dark house,2014-03-14,2014,22
rat film,2017-09-15,2017,85
what to do in case of fire,2002-07-19,2002,47
graveyard shift,1990-10-26,1990,28
anomaly,2015-09-25,2015,27
outsider,2014-02-07,2014,23
django,2018-01-05,2018,49
food of love,2002-10-25,2002,46
jumper,2008-02-14,2008,35
from dusk till dawn,1996-01-19,1996,48
jumanji,1995-12-15,1995,39
ransom,1996-11-08,1996,60
paycheck,2003-12-25,2003,43
beach,2000-02-11,2000,43
collateral beauty,2016-12-16,2016,23
jason x,2002-04-26,2002,25
sahara,2005-04-08,2005,41
penelope,2008-02-29,2008,48
titan ae,2000-06-16,2000,48
remember the titans,2000-09-29,2000,48
quick and the dead,1995-02-10,1995,49
coming to america,1988-06-29,1988,47
edtv,1999-03-26,1999,48
colonia,2016-04-15,2016,33
mr church,2016-09-16,2016,37
goldfinch,2019-09-13,2019,40
dummy,2003-09-12,2003,48
universal soldier,1992-07-10,1992,35
wild target,2010-10-29,2010,41
forger,2015-04-24,2015,32
two weeks notice,2002-12-20,2002,42
robocop 2,1990-06-22,1990,42
but im a cheerleader,2000-07-07,2000,39
highlander endgame,2000-09-01,2000,21
hick,2012-05-11,2012,28
thomas and the magic railroad,2000-07-26,2000,19
waist deep,2006-06-23,2006,37
drive me crazy,1999-10-01,1999,42
twelve,2010-08-06,2010,22
dear wendy,2005-09-23,2005,33
informers,2009-04-24,2009,20
jason lives friday the 13th part vi,1986-08-01,1986,30
singing detective,2003-10-24,2003,45
american outlaws,2001-08-17,2001,25
omega code,1999-10-15,1999,14
good burger,1997-07-25,1997,41
boxing helena,1993-09-03,1993,26
bushwick,2017-08-25,2017,44
city with no mercy,2008-03-14,2008,38
chevalier,2016-05-27,2016,76
constantine,2005-02-18,2005,50
starship troopers,1997-11-07,1997,51
pandorum,2009-09-25,2009,28
pitch black,2000-02-18,2000,49
my super exgirlfriend,2006-07-21,2006,50
waterboy,1998-11-06,1998,41
hot rod,2007-08-03,2007,43
lara croft tomb raider the cradle of life,2003-07-25,2003,43
august rush,2007-11-21,2007,38
remember me,2010-03-12,2010,40
event horizon,1997-08-15,1997,35
slc punk,1999-04-16,1999,50
sleepers,1996-10-18,1996,49
conan the barbarian,1982-05-14,1982,43
kalifornia,1993-11-03,1993,49
collector,2009-07-31,2009,29
yugioh the movie,2004-08-13,2004,15
catch and release,2007-01-26,2007,43
outsider,2018-03-09,2018,30
congo,1995-06-09,1995,22
american mary,2013-05-31,2013,46
postman,1997-12-25,1997,29
adventures of pluto nash,2002-08-16,2002,12
godsend,2004-04-30,2004,24
mickey blue eyes,1999-08-20,1999,49
family that preys,2008-09-12,2008,49
birthday girl,2002-02-01,2002,51
addicted to love,1997-05-23,1997,49
my life in ruins,2009-06-05,2009,34
return to oz,1985-06-21,1985,42
childs play 3,1991-08-30,1991,27
paths of the soul,2016-05-13,2016,90
manakamana,2014-04-18,2014,86
nina,2016-04-22,2016,27
modigliani,2005-05-13,2005,25
intruder,2005-12-23,2005,85
mighty joe young,1998-12-25,1998,51
splinterheads,2009-11-06,2009,41
high school,2012-06-01,2012,31
trumpet of the swan,2001-05-11,2001,27
outoftowners,1999-04-02,1999,33
girl play,2005-04-01,2005,37
clapper,2018-01-26,2018,21
saving lincoln,2013-02-15,2013,21
lotus eaters,2013-04-05,2013,36
buddy boy,2000-03-24,2000,36
hits,2015-02-13,2015,45
mr magoo,1997-12-25,1997,18
island,2005-07-22,2005,50
fifth element,1997-05-09,1997,52
anger management,2003-04-11,2003,52
ratchet clank,2016-04-29,2016,29
austin powers international man of mystery,1997-05-02,1997,51
saw v,2008-10-24,2008,20
pretty woman,1990-03-23,1990,51
american carol,2008-10-03,2008,20
rush hour 2,2001-08-03,2001,48
fear and loathing in las vegas,1998-05-22,1998,41
blow,2001-04-06,2001,52
my name is khan,2010-02-12,2010,50
accepted,2006-08-18,2006,47
friday the 13th,1980-05-09,1980,22
spaceballs,1987-06-24,1987,46
swat,2003-08-08,2003,45
fred claus,2007-11-09,2007,42
halloween 4 the return of michael myers,1988-10-21,1988,34
spanglish,2004-12-17,2004,48
boondock saints ii all saints day,2009-10-30,2009,24
perfect murder,1998-06-05,1998,50
my best friends girl,2008-09-19,2008,34
crossroads,2002-02-15,2002,27
school for scoundrels,2006-09-29,2006,44
john q,2002-02-15,2002,30
outlander,2009-01-23,2009,40
bel ami,2012-06-08,2012,42
hudson hawk,1991-05-24,1991,17
french kiss,1995-05-05,1995,50
monsterinlaw,2005-05-13,2005,31
diary of a mad black woman,2005-02-25,2005,36
beverly hills ninja,1997-01-17,1997,27
bounce,2000-11-17,2000,52
generation um,2013-05-03,2013,25
secuestro express,2005-08-05,2005,48
friday the 13th the final chapter,1984-04-13,1984,33
dancing at the blue iguana,2001-10-19,2001,41
united states of leland,2004-04-02,2004,37
ultimate gift,2007-03-09,2007,49
31,2016-10-21,2016,35
meet bill,2008-04-04,2008,30
baytown outlaws,2013-01-11,2013,33
joe somebody,2001-12-19,2001,42
6 days,2017-08-18,2017,36
lifeguard,2013-08-30,2013,34
keeper the legend of omar khayyam,2005-06-10,2005,43
trash humpers,2010-05-07,2010,33
mambo italiano,2003-09-19,2003,41
eulogy,2004-10-15,2004,34
oh my god,2009-11-13,2009,30
miracle season,2018-04-06,2018,44
skills like this,2009-03-20,2009,44
night train to lisbon,2013-12-06,2013,30
wash,2001-11-14,2001,18
premature,2014-07-02,2014,34
my life directed by nicolas winding refn,2015-02-27,2015,50
marilyn hotchkiss ballroom dancing charm school,2006-03-31,2006,40
girl on a bicycle,2014-02-14,2014,32
mermaids,1990-12-14,1990,56
hollywood dreams,2007-05-18,2007,52
miss julie,1999-12-10,1999,46
high heels and low lifes,2001-10-26,2001,39
joker,2019-10-03,2019,58
saw,2004-10-29,2004,46
justin bieber never say never,2011-02-11,2011,52
phone booth,2003-04-04,2003,56
blade ii,2002-03-22,2002,52
lucky number slevin,2006-04-07,2006,53
resident evil,2002-03-15,2002,33
charlies angels,2000-11-03,2000,52
transporter,2002-10-11,2002,51
law abiding citizen,2009-10-16,2009,34
daddys home,2015-12-25,2015,42
dark water,2005-07-08,2005,52
ghost,1990-07-13,1990,52
fear,1996-04-12,1996,51
eurotrip,2004-02-20,2004,45
twins,1988-12-09,1988,53
night at the roxbury,1998-10-02,1998,26
stoning of soraya m,2009-06-26,2009,50
dead ringers,1988-09-23,1988,86
serendipity,2001-10-05,2001,52
open windows,2014-11-07,2014,47
dungeons dragons,2000-12-08,2000,14
peaceful warrior,2006-06-02,2006,40
atlas shrugged ii the strike,2012-10-12,2012,26
love me if you dare,2004-05-21,2004,45
shes all that,1999-01-29,1999,51
baseketball,1998-07-31,1998,38
just my luck,2006-05-12,2006,29
naked in ashes,2005-10-21,2005,51
end of the spear,2006-01-20,2006,45
bunraku,2011-09-30,2011,28
phat girlz,2006-04-07,2006,36
death to smoochy,2002-03-29,2002,38
little manhattan,2005-09-30,2005,52
prince of darkness,1987-10-23,1987,50
mystery alaska,1999-10-01,1999,49
secondhand lions,2003-09-19,2003,52
gimme shelter,2014-01-24,2014,37
red sea diving resort,2019-07-31,2019,29
scenic route,2013-08-23,2013,34
american desi,2001-03-16,2001,50
in the cut,2003-10-22,2003,46
dragonfly,2002-02-22,2002,25
friday the 13th a new beginning,1985-03-22,1985,16
new best friend,2002-04-12,2002,13
saint ralph,2005-08-05,2005,51
tennessee,2009-06-05,2009,42
nobody speak trials of the free press,2017-06-23,2017,68
around the bend,2004-10-08,2004,46
whiteboyz,1999-10-08,1999,45
burbs,1989-02-17,1989,45
last word,2017-03-03,2017,40
secret scripture,2017-10-13,2017,37
greenfingers,2001-07-27,2001,46
guarding tess,1994-03-11,1994,46
revenge of the green dragons,2014-10-24,2014,36
mothers and daughters,2016-05-06,2016,29
why stop now,2012-08-17,2012,36
other sister,1999-02-26,1999,28
bisbee 17,2018-09-05,2018,87
meet me in montenegro,2015-07-10,2015,51
still life,2015-01-16,2015,45
close your eyes,2004-04-23,2004,45
sin city a dame to kill for,2014-08-22,2014,46
house of wax,2005-05-06,2005,41
notebook,2004-06-25,2004,53
47 ronin,2013-12-25,2013,28
vanilla sky,2001-12-14,2001,45
hansel and gretel witch hunters,2013-01-25,2013,23
con air,1997-06-06,1997,52
starsky hutch,2004-03-05,2004,55
saw vi,2009-10-23,2009,30
jay and silent bob strike back,2001-08-24,2001,51
holiday,2006-12-08,2006,52
ace ventura pet detective,1994-02-04,1994,37
forest,2016-01-08,2016,34
takers,2010-08-27,2010,45
push,2009-02-06,2009,36
darkest hour,2011-12-25,2011,18
lets be cops,2014-08-13,2014,30
labyrinth,1986-06-27,1986,50
existenz,1999-04-23,1999,68
rat race,2001-08-17,2001,52
tracey fragments,2008-05-09,2008,54
wild things,1998-03-20,1998,52
snake eyes,1998-08-07,1998,52
i spit on your grave,2010-10-08,2010,27
big mommas like father like son,2011-02-18,2011,22
wrong turn,2003-05-30,2003,32
2016 obamas america,2012-07-13,2012,28
six days seven nights,1998-06-12,1998,51
ward,2011-07-08,2011,38
courageous,2011-09-30,2011,42
stargate,1994-10-28,1994,42
comet,2014-12-05,2014,52
rocky iv,1985-11-27,1985,40
flight of the phoenix,2004-12-17,2004,47
mine 9,2019-06-07,2019,66
human traffic,2000-05-05,2000,53
13th warrior,1999-08-27,1999,42
rambo first blood part ii,1985-05-22,1985,47
bilal a new breed of hero,2016-10-07,2016,52
snow dogs,2002-01-18,2002,29
supernova,2000-01-14,2000,19
music of the heart,1999-10-29,1999,54
hell fest,2018-09-28,2018,26
albino alligator,1997-01-17,1997,48
filth and wisdom,2008-10-17,2008,26
nitro circus the movie,2012-08-08,2012,43
air america,1990-08-10,1990,33
mean machine,2002-02-22,2002,45
fathers and daughters,2016-07-08,2016,31
for love of the game,1999-09-17,1999,43
exists,2014-10-24,2014,22
pretty persuasion,2005-08-12,2005,45
land of the blind,2006-06-16,2006,32
salinger,2013-09-06,2013,40
my all american,2015-11-13,2015,34
minis first time,2006-07-14,2006,45
answer man,2009-07-24,2009,44
mommas man,2008-08-22,2008,84
short circuit,1986-05-09,1986,50
borstal boy,2002-03-01,2002,47
in the face of evil reagans war in word and deed,2004-10-15,2004,39
3 strikes,2000-03-01,2000,11
shelter,2015-11-13,2015,43
american cannibal the road to reality,2007-03-16,2007,44
after fall winter,2012-01-27,2012,19
how to kill your neighbors dog,2002-02-22,2002,40
into my heart,2000-05-05,2000,34
eddie murphy raw,1987-12-18,1987,54
snatch,2001-01-19,2001,55
rambo,2008-01-25,2008,46
old school,2003-02-21,2003,54
ninja assassin,2009-11-25,2009,34
feardotcom,2002-08-30,2002,16
time to kill,1996-07-24,1996,54
never back down,2008-03-14,2008,39
swordfish,2001-06-08,2001,32
dear white people,2014-10-17,2014,79
hitcher,2007-01-19,2007,28
jackass the movie,2002-10-25,2002,42
jackal,1997-11-14,1997,36
copycat,1995-10-27,1995,54
mothman prophecies,2002-01-25,2002,52
lethal weapon 3,1992-05-15,1992,40
cave,2005-08-26,2005,30
little boy,2015-04-24,2015,30
rudderless,2014-10-17,2014,52
father of the bride,1991-12-20,1991,51
lost city,2006-04-28,2006,47
welcome to the rileys,2010-10-29,2010,50
ladder 49,2004-10-01,2004,47
get carter,2000-10-06,2000,24
guy thing,2003-01-17,2003,27
little bit of heaven,2012-05-04,2012,14
air i breathe,2008-01-25,2008,37
charlie countryman,2013-11-15,2013,31
xx,2017-02-17,2017,64
empire records,1995-09-22,1995,30
some kind of wonderful,1987-02-27,1987,55
last castle,2001-10-19,2001,43
my name is bruce,2008-10-31,2008,36
emperors club,2002-11-22,2002,49
man who cried,2001-05-25,2001,40
blood the last vampire,2009-07-10,2009,28
dogs journey,2019-05-17,2019,43
life before her eyes,2008-04-18,2008,38
party monster,2003-09-05,2003,36
cbgb,2013-10-04,2013,30
playing it cool,2015-05-08,2015,30
caddyshack,1980-07-25,1980,48
never die alone,2004-03-26,2004,38
mothers day,2012-05-04,2012,34
simon birch,1998-09-11,1998,39
mujer de mi hermano,2006-04-14,2006,41
riding in cars with boys,2001-10-19,2001,43
chelsea walls,2002-04-19,2002,34
bodyguard,1992-11-25,1992,39
bones,2001-10-24,2001,42
stolen,2010-03-12,2010,34
home room,2003-09-05,2003,43
heart of a dog,2015-10-21,2015,84
sorry haters,2006-03-01,2006,43
sleeping with the enemy,1991-02-08,1991,48
ghost team one,2013-10-11,2013,21
flakes,2007-12-19,2007,35
spinning into butter,2009-03-27,2009,20
wraith,1986-11-21,1986,39
adventures of power,2009-10-09,2009,39
about time,2013-11-01,2013,55
strangers,2008-05-30,2008,47
silent hill revelation 3d,2012-10-26,2012,16
amores perros,2001-03-30,2001,83
vacancy,2007-04-20,2007,54
once upon a time in mexico,2003-09-12,2003,56
desperado,1995-08-25,1995,55
bucket list,2007-12-25,2007,42
sitter,2011-12-09,2011,39
city of angels,1998-04-10,1998,54
gallows,2015-07-10,2015,30
fanboys,2009-02-06,2009,45
eight legged freaks,2002-07-17,2002,53
88 minutes,2008-04-18,2008,17
from paris with love,2010-02-05,2010,42
my little pony the movie,2017-10-06,2017,39
bicentennial man,1999-12-17,1999,42
buffy the vampire slayer,1992-07-31,1992,48
afterlife,2010-04-09,2010,36
big mommas house,2000-06-02,2000,33
halloween 5 the revenge of michael myers,1989-10-13,1989,28
net,1995-07-28,1995,51
devils own,1997-03-26,1997,53
how to lose friends alienate people,2008-10-03,2008,35
flipped,2010-08-06,2010,45
swept away,2002-10-11,2002,18
nightmare on elm street 3 dream warriors,1987-02-27,1987,49
lets go to prison,2006-11-17,2006,27
good old fashioned orgy,2011-09-02,2011,44
hellraiser,1987-09-18,1987,57
stockholm,2019-04-12,2019,54
godzilla 2000,2000-08-18,2000,41
gods and generals,2003-02-21,2003,30
max keebles big move,2001-10-05,2001,40
friday the 13th part iii,1982-08-13,1982,30
recess schools out,2001-02-16,2001,43
american rhapsody,2001-08-10,2001,51
american astronaut,2001-09-05,2001,51
