title,release_year,genres,rating_imdb,rating_movielens,rating_metacritic,rating_rt_audience,count_ratings,imdb_norm,movielens_norm,metacritic_norm,rt_norm,num_available_ratings,superscore_mean,superscore_median
smurfs the lost village,2017,"['Animation', 'Comedy', 'Kids & Family']",,,40.0,54.0,2,,,4.0,5.4,2,4.7,4.7
song to song,2017,"['Comedy', 'Drama']",,,54.0,36.0,2,,,5.4,3.6,2,4.5,4.5
star,2017,"['Action & Adventure', 'Animation', 'Comedy', 'Kids & Family']",,,42.0,71.0,2,,,4.2,7.1,2,5.65,5.65
star wars the last jedi,2017,"['Action', 'Adventure', 'Fantasy', 'Sci-Fi']",,3.12,,43.0,2,,6.24,,4.3,2,5.27,5.27
stronger,2017,['Drama'],,,76.0,80.0,2,,,7.6,8.0,2,7.8,7.8
suburbicon,2017,['Comedy'],,,42.0,25.0,2,,,4.2,2.5,2,3.35,3.35
super dark times,2017,['Drama'],,,75.0,72.0,2,,,7.5,7.2,2,7.35,7.35
survivalist,2017,"['Art House & International', 'Drama', 'Mystery & Suspense', 'Science Fiction & Fantasy']",,,80.0,66.0,2,,,8.0,6.6,2,7.3,7.3
sweet virginia,2017,"['Drama', 'Mystery & Suspense']",,,72.0,58.0,2,,,7.2,5.8,2,6.5,6.5
thank you for your service,2017,['Drama'],,,68.0,72.0,2,,,6.8,7.2,2,7.0,7.0
their finest,2017,"['Comedy', 'Drama', 'Romance']",,,76.0,71.0,2,,,7.6,7.1,2,7.35,7.35
thelma,2017,"['Art House & International', 'Mystery & Suspense']",,,74.0,77.0,2,,,7.4,7.7,2,7.550000000000001,7.550000000000001
this beautiful fantastic,2017,"['Comedy', 'Drama', 'Science Fiction & Fantasy']",,,51.0,75.0,2,,,5.1,7.5,2,6.3,6.3
ticket,2017,['Drama'],,,52.0,30.0,2,,,5.2,3.0,2,4.1,4.1
tickling giants,2017,['Documentary'],,5.0,78.0,,2,,10.0,7.8,,2,8.9,8.9
to the bone,2017,['Drama'],,,64.0,64.0,2,,,6.4,6.4,2,6.4,6.4
tom of finland,2017,"['Art House & International', 'Drama']",,,56.0,70.0,2,,,5.6,7.0,2,6.3,6.3
tommys honour,2017,['Drama'],,,56.0,68.0,2,,,5.6,6.8,2,6.199999999999999,6.199999999999999
trespass against us,2017,"['Action & Adventure', 'Art House & International', 'Drama']",,,50.0,25.0,2,,,5.0,2.5,2,3.75,3.75
trip to spain,2017,"['Art House & International', 'Comedy']",,,66.0,64.0,2,,,6.6,6.4,2,6.5,6.5
tulip fever,2017,"['Drama', 'Romance']",,,38.0,43.0,2,,,3.8,4.3,2,4.05,4.05
tyler perrys boo 2 a madea halloween,2017,['Comedy'],,,17.0,40.0,2,,,1.7,4.0,2,2.85,2.85
una,2017,['Drama'],,,62.0,49.0,2,,,6.2,4.9,2,5.550000000000001,5.550000000000001
unforgettable,2017,"['Drama', 'Mystery & Suspense']",,,45.0,33.0,2,,,4.5,3.3,2,3.9,3.9
united kingdom,2017,"['Drama', 'Romance']",,,65.0,76.0,2,,,6.5,7.6,2,7.05,7.05
unlocked,2017,"['Action & Adventure', 'Mystery & Suspense']",,,46.0,42.0,2,,,4.6,4.2,2,4.4,4.4
urban hymn,2017,"['Art House & International', 'Drama', 'Musical & Performing Arts']",,,51.0,78.0,2,,,5.1,7.8,2,6.449999999999999,6.449999999999999
viceroys house,2017,"['Art House & International', 'Drama']",,,53.0,66.0,2,,,5.3,6.6,2,5.949999999999999,5.949999999999999
voice from the stone,2017,"['Drama', 'Mystery & Suspense']",,,42.0,33.0,2,,,4.2,3.3,2,3.75,3.75
voyeur,2017,['Documentary'],,,59.0,60.0,2,,,5.9,6.0,2,5.95,5.95
wakefield,2017,['Drama'],,,62.0,52.0,2,,,6.2,5.2,2,5.7,5.7
walking out,2017,"['Action & Adventure', 'Drama', 'Mystery & Suspense']",,,79.0,56.0,2,,,7.9,5.6,2,6.75,6.75
wall,2017,"['Drama', 'Mystery & Suspense']",,,57.0,42.0,2,,,5.7,4.2,2,4.95,4.95
war on everyone,2017,"['Art House & International', 'Comedy']",,,50.0,37.0,2,,,5.0,3.7,2,4.35,4.35
wedding plan,2017,"['Art House & International', 'Comedy', 'Drama', 'Romance']",,,72.0,65.0,2,,,7.2,6.5,2,6.85,6.85
what happened to monday,2017,"['Action & Adventure', 'Drama', 'Mystery & Suspense', 'Science Fiction & Fantasy']",,,47.0,67.0,2,,,4.7,6.7,2,5.7,5.7
wilson,2017,['Comedy'],,,49.0,30.0,2,,,4.9,3.0,2,3.95,3.95
wish upon,2017,['Horror'],,,32.0,30.0,2,,,3.2,3.0,2,3.1,3.1
wolves,2017,['Drama'],,,46.0,45.0,2,,,4.6,4.5,2,4.55,4.55
wonderstruck,2017,['Drama'],,,71.0,55.0,2,,,7.1,5.5,2,6.3,6.3
woodshock,2017,['Drama'],,,39.0,24.0,2,,,3.9,2.4,2,3.15,3.15
xx,2017,['Horror'],,,64.0,19.0,2,,,6.4,1.9,2,4.15,4.15
zookeepers wife,2017,['Drama'],,,57.0,76.0,2,,,5.7,7.6,2,6.65,6.65
100 streets,2016,['Drama'],,2.5,,36.0,2,,5.0,,3.6,2,4.3,4.3
13 hours,2016,['Drama'],7.3,3.3,,,2,7.3,6.6,,,2,6.949999999999999,6.949999999999999
13 hours the secret soldiers of benghazi,2016,"['Action & Adventure', 'Drama']",,,48.0,82.0,2,,,4.8,8.2,2,6.5,6.5
13th,2016,['Documentary'],,4.5,88.0,,2,,9.0,8.8,,2,8.9,8.9
20th century women,2016,"['Comedy', 'Drama']",,,83.0,74.0,2,,,8.3,7.4,2,7.8500000000000005,7.8500000000000005
9th life of louis drax,2016,['Mystery & Suspense'],,,41.0,37.0,2,,,4.1,3.7,2,3.9,3.9
abandoned,2016,['Horror'],,,32.0,68.0,2,,,3.2,6.8,2,5.0,5.0
absolutely fabulous the movie,2016,['Comedy'],,,59.0,41.0,2,,,5.9,4.1,2,5.0,5.0
almost christmas,2016,['Comedy'],,,55.0,64.0,2,,,5.5,6.4,2,5.95,5.95
always shine,2016,"['Drama', 'Mystery & Suspense']",,,72.0,52.0,2,,,7.2,5.2,2,6.2,6.2
amanda knox,2016,['Documentary'],,3.5,78.0,,2,,7.0,7.8,,2,7.4,7.4
american honey,2016,['Drama'],,,79.0,63.0,2,,,7.9,6.3,2,7.1,7.1
american pastoral,2016,['Drama'],,,43.0,30.0,2,,,4.3,3.0,2,3.65,3.65
and behold reveries of the connected world,2016,['Documentary'],,,76.0,67.0,2,,,7.6,6.7,2,7.15,7.15
anesthesia,2016,['Drama'],,,55.0,50.0,2,,,5.5,5.0,2,5.25,5.25
anthropoid,2016,"['Drama', 'Mystery & Suspense']",,,59.0,71.0,2,,,5.9,7.1,2,6.5,6.5
antibirth,2016,['Horror'],,,56.0,33.0,2,,,5.6,3.3,2,4.449999999999999,4.449999999999999
approaching the unknown,2016,"['Drama', 'Mystery & Suspense', 'Science Fiction & Fantasy']",,,53.0,14.0,2,,,5.3,1.4,2,3.3499999999999996,3.3499999999999996
autopsy of jane doe,2016,"['Art House & International', 'Horror']",,,65.0,70.0,2,,,6.5,7.0,2,6.75,6.75
band of robbers,2016,"['Action & Adventure', 'Comedy']",,,57.0,61.0,2,,,5.7,6.1,2,5.9,5.9
barry,2016,['Drama'],,,72.0,52.0,2,,,7.2,5.2,2,6.2,6.2
baskin,2016,"['Art House & International', 'Horror', 'Science Fiction & Fantasy']",,,58.0,46.0,2,,,5.8,4.6,2,5.199999999999999,5.199999999999999
beatles eight days a week the touring years,2016,['Documentary'],,,72.0,89.0,2,,,7.2,8.9,2,8.05,8.05
before the flood,2016,['Documentary'],,,63.0,77.0,2,,,6.3,7.7,2,7.0,7.0
benefactor,2016,['Drama'],,,40.0,23.0,2,,,4.0,2.3,2,3.15,3.15
bigger splash,2016,"['Art House & International', 'Drama', 'Mystery & Suspense', 'Special Interest']",,,74.0,58.0,2,,,7.4,5.8,2,6.6,6.6
billy lynns long halftime walk,2016,['Drama'],,,53.0,41.0,2,,,5.3,4.1,2,4.699999999999999,4.699999999999999
birth of a nation,2016,['Drama'],,,69.0,71.0,2,,,6.9,7.1,2,7.0,7.0
bleed for this,2016,"['Drama', 'Sports & Fitness']",,,62.0,69.0,2,,,6.2,6.9,2,6.550000000000001,6.550000000000001
blue jay,2016,['Drama'],,,69.0,77.0,2,,,6.9,7.7,2,7.300000000000001,7.300000000000001
born to be blue,2016,"['Art House & International', 'Drama', 'Musical & Performing Arts']",,,64.0,73.0,2,,,6.4,7.3,2,6.85,6.85
bronze,2016,"['Comedy', 'Drama']",,,44.0,44.0,2,,,4.4,4.4,2,4.4,4.4
burn country,2016,['Drama'],,,60.0,41.0,2,,,6.0,4.1,2,5.05,5.05
cabin fever,2016,['Horror'],,,14.0,12.0,2,,,1.4,1.2,2,1.2999999999999998,1.2999999999999998
cameraperson,2016,['Documentary'],,,86.0,68.0,2,,,8.6,6.8,2,7.699999999999999,7.699999999999999
camino,2016,"['Action', 'Adventure', 'Thriller']",,2.0,,20.0,2,,4.0,,2.0,2,3.0,3.0
carnage park,2016,['Mystery & Suspense'],,,48.0,29.0,2,,,4.8,2.9,2,3.8499999999999996,3.8499999999999996
cell,2016,['Horror'],,,38.0,17.0,2,,,3.8,1.7,2,2.75,2.75
certain women,2016,['Drama'],,,82.0,51.0,2,,,8.2,5.1,2,6.6499999999999995,6.6499999999999995
childhood of a leader,2016,['Drama'],,,68.0,54.0,2,,,6.8,5.4,2,6.1,6.1
choice,2016,"['Drama', 'Romance']",,,26.0,62.0,2,,,2.6,6.2,2,4.4,4.4
christine,2016,['Drama'],,,72.0,71.0,2,,,7.2,7.1,2,7.15,7.15
chronic,2016,['Drama'],,,69.0,57.0,2,,,6.9,5.7,2,6.300000000000001,6.300000000000001
closet monster,2016,['Drama'],,,81.0,72.0,2,,,8.1,7.2,2,7.65,7.65
colliding dreams,2016,['Documentary'],,,79.0,62.0,2,,,7.9,6.2,2,7.050000000000001,7.050000000000001
come and find me,2016,['Drama'],,,46.0,33.0,2,,,4.6,3.3,2,3.9499999999999997,3.9499999999999997
coming through the rye,2016,['Drama'],,,64.0,65.0,2,,,6.4,6.5,2,6.45,6.45
complete unknown,2016,['Drama'],,,58.0,24.0,2,,,5.8,2.4,2,4.1,4.1
confirmation,2016,"['Drama', 'Television']",,,65.0,74.0,2,,,6.5,7.4,2,6.95,6.95
country called home,2016,['Drama'],,,46.0,48.0,2,,,4.6,4.8,2,4.699999999999999,4.699999999999999
creative control,2016,"['Drama', 'Science Fiction & Fantasy']",,,58.0,38.0,2,,,5.8,3.8,2,4.8,4.8
dark horse,2016,"['Art House & International', 'Drama']",,,77.0,77.0,2,,,7.7,7.7,2,7.7,7.7
darkness,2016,['Horror'],,,27.0,19.0,2,,,2.7,1.9,2,2.3,2.3
demon,2016,"['Art House & International', 'Mystery & Suspense']",,,80.0,56.0,2,,,8.0,5.6,2,6.8,6.8
denial,2016,['Drama'],,,63.0,71.0,2,,,6.3,7.1,2,6.699999999999999,6.699999999999999
despite the falling snow,2016,"['Drama', 'Romance', 'Thriller']",,2.0,,44.0,2,,4.0,,4.4,2,4.2,4.2
dheepan,2016,['Drama'],,,76.0,82.0,2,,,7.6,8.2,2,7.8999999999999995,7.8999999999999995
diablo,2016,"['Mystery & Suspense', 'Western']",,,35.0,27.0,2,,,3.5,2.7,2,3.1,3.1
disappointments room,2016,"['Horror', 'Mystery & Suspense']",,,31.0,17.0,2,,,3.1,1.7,2,2.4,2.4
divergent series allegiant,2016,"['Action & Adventure', 'Science Fiction & Fantasy', 'Romance']",,,33.0,41.0,2,,,3.3,4.1,2,3.6999999999999997,3.6999999999999997
dog eat dog,2016,"['Action & Adventure', 'Mystery & Suspense']",,,53.0,18.0,2,,,5.3,1.8,2,3.55,3.55
dont think twice,2016,['Comedy'],,,83.0,69.0,2,,,8.3,6.9,2,7.6000000000000005,7.6000000000000005
doover,2016,['Comedy'],,3.5,22.0,,2,,7.0,2.2,,2,4.6,4.6
duel,2016,"['Drama', 'Western']",,,42.0,30.0,2,,,4.2,3.0,2,3.6,3.6
eagle huntress,2016,['Documentary'],,,72.0,86.0,2,,,7.2,8.6,2,7.9,7.9
eat that question frank zappa in his own words,2016,"['Art House & International', 'Documentary']",,,74.0,73.0,2,,,7.4,7.3,2,7.35,7.35
edge of winter,2016,['Drama'],,,50.0,33.0,2,,,5.0,3.3,2,4.15,4.15
eisenstein in guanajuato,2016,"['Comedy', 'Romance']",,,60.0,51.0,2,,,6.0,5.1,2,5.55,5.55
elstree 1976,2016,"['Art House & International', 'Documentary']",,,66.0,39.0,2,,,6.6,3.9,2,5.25,5.25
elvis nixon,2016,['Comedy'],,,59.0,57.0,2,,,5.9,5.7,2,5.800000000000001,5.800000000000001
embrace of the serpent,2016,"['Adventure', 'Drama']",,3.5,82.0,,2,,7.0,8.2,,2,7.6,7.6
emelie,2016,['Mystery & Suspense'],,,62.0,41.0,2,,,6.2,4.1,2,5.15,5.15
endless poetry,2016,"['Drama', 'Fantasy']",,3.5,78.0,,2,,7.0,7.8,,2,7.4,7.4
equals,2016,"['Drama', 'Science Fiction & Fantasy']",,,43.0,42.0,2,,,4.3,4.2,2,4.25,4.25
equity,2016,['Drama'],,,68.0,52.0,2,,,6.8,5.2,2,6.0,6.0
evolution,2016,"['Art House & International', 'Drama']",,,77.0,44.0,2,,,7.7,4.4,2,6.050000000000001,6.050000000000001
exposed,2016,['Drama'],,1.5,,15.0,2,,3.0,,1.5,2,2.25,2.25
eyes of my mother,2016,"['Drama', 'Horror']",,,63.0,57.0,2,,,6.3,5.7,2,6.0,6.0
family fang,2016,['Drama'],,,67.0,47.0,2,,,6.7,4.7,2,5.7,5.7
fathers and daughters,2016,"['Art House & International', 'Drama']",,,31.0,58.0,2,,,3.1,5.8,2,4.45,4.45
fifty shades of black,2016,['Comedy'],,,28.0,19.0,2,,,2.8,1.9,2,2.3499999999999996,2.3499999999999996
fits,2016,['Drama'],,,90.0,54.0,2,,,9.0,5.4,2,7.2,7.2
for the love of spock,2016,['Documentary'],,,74.0,82.0,2,,,7.4,8.2,2,7.8,7.8
forest,2016,"['Drama', 'Horror']",,,34.0,22.0,2,,,3.4,2.2,2,2.8,2.8
forsaken,2016,"['Art House & International', 'Drama', 'Western']",,,55.0,87.0,2,,,5.5,8.7,2,7.1,7.1
francofonia,2016,['Documentary'],,,71.0,46.0,2,,,7.1,4.6,2,5.85,5.85
frank lola,2016,['Mystery & Suspense'],,,56.0,42.0,2,,,5.6,4.2,2,4.9,4.9
front cover,2016,"['Comedy', 'Drama', 'Romance']",,3.5,,50.0,2,,7.0,,5.0,2,6.0,6.0
fundamentals of caring,2016,['Drama'],,3.75,55.0,,2,,7.5,5.5,,2,6.5,6.5
gimme danger,2016,['Documentary'],,2.0,,70.0,2,,4.0,,7.0,2,5.5,5.5
girl in the photographs,2016,"['Horror', 'Mystery & Suspense', 'Special Interest']",,,32.0,21.0,2,,,3.2,2.1,2,2.6500000000000004,2.6500000000000004
glassland,2016,['Drama'],,,66.0,44.0,2,,,6.6,4.4,2,5.5,5.5
gleason,2016,['Documentary'],,,80.0,90.0,2,,,8.0,9.0,2,8.5,8.5
gods not dead 2,2016,['Drama'],,,22.0,62.0,2,,,2.2,6.2,2,4.2,4.2
great gilly hopkins,2016,"['Comedy', 'Drama']",,,47.0,69.0,2,,,4.7,6.9,2,5.800000000000001,5.800000000000001
handmaiden,2016,"['Drama', 'Romance', 'Thriller']",,2.67,84.0,,2,,5.34,8.4,,2,6.87,6.87
hands of stone,2016,"['Action & Adventure', 'Drama']",,,54.0,52.0,2,,,5.4,5.2,2,5.300000000000001,5.300000000000001
hello my name is doris,2016,['Drama'],,,63.0,76.0,2,,,6.3,7.6,2,6.949999999999999,6.949999999999999
highrise,2016,"['Action & Adventure', 'Art House & International', 'Drama', 'Science Fiction & Fantasy']",,,65.0,36.0,2,,,6.5,3.6,2,5.05,5.05
holidays,2016,['Comedy'],,,50.0,24.0,2,,,5.0,2.4,2,3.7,3.7
hollars,2016,"['Comedy', 'Drama', 'Kids & Family']",,,53.0,59.0,2,,,5.3,5.9,2,5.6,5.6
hollow point,2016,['Drama'],,,41.0,31.0,2,,,4.1,3.1,2,3.5999999999999996,3.5999999999999996
hologram for the king,2016,['Drama'],,,58.0,55.0,2,,,5.8,5.5,2,5.65,5.65
hyena road,2016,"['Art House & International', 'Drama', 'Special Interest']",,,44.0,59.0,2,,,4.4,5.9,2,5.15,5.15
i am not a serial killer,2016,"['Drama', 'Mystery & Suspense']",,,54.0,61.0,2,,,5.4,6.1,2,5.75,5.75
i am the pretty thing that lives in the house,2016,"['Drama', 'Horror', 'Mystery & Suspense']",,,68.0,24.0,2,,,6.8,2.4,2,4.6,4.6
i am wrath,2016,"['Action', 'Crime', 'Drama', 'Thriller']",,1.5,,33.0,2,,3.0,,3.3,2,3.15,3.15
i daniel blake,2016,"['Art House & International', 'Drama']",,,78.0,85.0,2,,,7.8,8.5,2,8.15,8.15
i saw the light,2016,"['Drama', 'Musical & Performing Arts']",,,47.0,36.0,2,,,4.7,3.6,2,4.15,4.15
in a valley of violence,2016,"['Action & Adventure', 'Western']",,,64.0,51.0,2,,,6.4,5.1,2,5.75,5.75
incarnate,2016,"['Drama', 'Horror', 'Science Fiction & Fantasy']",,,30.0,23.0,2,,,3.0,2.3,2,2.65,2.65
into the inferno,2016,['Documentary'],,,76.0,73.0,2,,,7.6,7.3,2,7.449999999999999,7.449999999999999
intruders,2016,"['Drama', 'Horror']",,,39.0,31.0,2,,,3.9,3.1,2,3.5,3.5
invitation,2016,['Mystery & Suspense'],,,74.0,69.0,2,,,7.4,6.9,2,7.15,7.15
ixcanul,2016,"['Art House & International', 'Drama']",,,83.0,75.0,2,,,8.3,7.5,2,7.9,7.9
jack goes home,2016,['Mystery & Suspense'],,,38.0,31.0,2,,,3.8,3.1,2,3.45,3.45
jane got a gun,2016,"['Action & Adventure', 'Drama', 'Western']",,,49.0,37.0,2,,,4.9,3.7,2,4.300000000000001,4.300000000000001
jim the james foley story,2016,['Documentary'],,,73.0,74.0,2,,,7.3,7.4,2,7.35,7.35
joshy,2016,['Comedy'],,,62.0,54.0,2,,,6.2,5.4,2,5.800000000000001,5.800000000000001
julieta,2016,"['Art House & International', 'Drama']",,,73.0,74.0,2,,,7.3,7.4,2,7.35,7.35
kevin hart what now,2016,['Comedy'],,,60.0,58.0,2,,,6.0,5.8,2,5.9,5.9
kickboxer vengeance,2016,"['Action & Adventure', 'Drama']",,,37.0,43.0,2,,,3.7,4.3,2,4.0,4.0
kicks,2016,"['Action & Adventure', 'Drama']",,,69.0,73.0,2,,,6.9,7.3,2,7.1,7.1
kill command,2016,"['Action', 'Horror', 'Sci-Fi']",,2.5,,45.0,2,,5.0,,4.5,2,4.75,4.75
kill your friends,2016,"['Comedy', 'Drama', 'Mystery & Suspense']",,,45.0,33.0,2,,,4.5,3.3,2,3.9,3.9
kind of murder,2016,['Drama'],,,50.0,14.0,2,,,5.0,1.4,2,3.2,3.2
kindergarten cop 2,2016,"['Action', 'Comedy']",,1.5,,24.0,2,,3.0,,2.4,2,2.7,2.7
king cobra,2016,['Drama'],,,48.0,32.0,2,,,4.8,3.2,2,4.0,4.0
king jack,2016,"['Action & Adventure', 'Drama']",,,72.0,72.0,2,,,7.2,7.2,2,7.2,7.2
knight of cups,2016,"['Drama', 'Romance']",,,53.0,37.0,2,,,5.3,3.7,2,4.5,4.5
lamb,2016,['Drama'],,,62.0,54.0,2,,,6.2,5.4,2,5.800000000000001,5.800000000000001
last days in the desert,2016,"['Action & Adventure', 'Drama']",,,67.0,45.0,2,,,6.7,4.5,2,5.6,5.6
last man on the moon,2016,['Documentary'],,,78.0,78.0,2,,,7.8,7.8,2,7.8,7.8
lazer team,2016,"['Comedy', 'Science Fiction & Fantasy']",,,42.0,69.0,2,,,4.2,6.9,2,5.550000000000001,5.550000000000001
len and company,2016,['Drama'],,,60.0,54.0,2,,,6.0,5.4,2,5.7,5.7
life animated,2016,['Documentary'],,,75.0,81.0,2,,,7.5,8.1,2,7.8,7.8
life on the line,2016,"['Action & Adventure', 'Drama']",,,24.0,35.0,2,,,2.4,3.5,2,2.95,2.95
little men,2016,['Drama'],,,86.0,63.0,2,,,8.6,6.3,2,7.449999999999999,7.449999999999999
little sister,2016,['Comedy'],,,74.0,56.0,2,,,7.4,5.6,2,6.5,6.5
london town,2016,['Drama'],,2.5,,68.0,2,,5.0,,6.8,2,5.9,5.9
louder than bombs,2016,['Drama'],,,70.0,52.0,2,,,7.0,5.2,2,6.1,6.1
love friendship,2016,"['Comedy', 'Drama']",,,87.0,60.0,2,,,8.7,6.0,2,7.35,7.35
love witch,2016,"['Drama', 'Horror', 'Mystery & Suspense']",,,82.0,61.0,2,,,8.2,6.1,2,7.1499999999999995,7.1499999999999995
loving,2016,['Drama'],,,79.0,76.0,2,,,7.9,7.6,2,7.75,7.75
ma ma,2016,['Drama'],,,31.0,55.0,2,,,3.1,5.5,2,4.3,4.3
man down,2016,['Drama'],,,27.0,58.0,2,,,2.7,5.8,2,4.25,4.25
marauders,2016,['Action'],,3.5,,30.0,2,,7.0,,3.0,2,5.0,5.0
mascots,2016,['Comedy'],,,57.0,36.0,2,,,5.7,3.6,2,4.65,4.65
max steel,2016,"['Action & Adventure', 'Comedy', 'Science Fiction & Fantasy']",,,22.0,48.0,2,,,2.2,4.8,2,3.5,3.5
mia madre,2016,"['Art House & International', 'Comedy', 'Drama']",,,70.0,60.0,2,,,7.0,6.0,2,6.5,6.5
middle school the worst years of my life,2016,['Comedy'],,,51.0,58.0,2,,,5.1,5.8,2,5.449999999999999,5.449999999999999
miles ahead,2016,"['Drama', 'Musical & Performing Arts', 'Special Interest']",,,64.0,57.0,2,,,6.4,5.7,2,6.050000000000001,6.050000000000001
miracles from heaven,2016,['Drama'],,,44.0,81.0,2,,,4.4,8.1,2,6.25,6.25
misconduct,2016,"['Drama', 'Mystery & Suspense']",,,24.0,22.0,2,,,2.4,2.2,2,2.3,2.3
miss stevens,2016,['Drama'],,,65.0,67.0,2,,,6.5,6.7,2,6.6,6.6
monster,2016,"['Drama', 'Horror']",,,69.0,40.0,2,,,6.9,4.0,2,5.45,5.45
morgan,2016,"['Drama', 'Horror', 'Science Fiction & Fantasy']",,,48.0,30.0,2,,,4.8,3.0,2,3.9,3.9
mothers and daughters,2016,['Comedy'],,,29.0,28.0,2,,,2.9,2.8,2,2.8499999999999996,2.8499999999999996
mothers day,2016,"['Comedy', 'Drama']",,,18.0,44.0,2,,,1.8,4.4,2,3.1,3.1
mr church,2016,['Drama'],,,37.0,80.0,2,,,3.7,8.0,2,5.85,5.85
music of strangers yoyo ma and the silk road ensemble,2016,['Documentary'],,,70.0,84.0,2,,,7.0,8.4,2,7.7,7.7
my blind brother,2016,"['Comedy', 'Drama', 'Romance']",,,60.0,56.0,2,,,6.0,5.6,2,5.8,5.8
my scientology movie,2016,['Documentary'],,3.5,62.0,,2,,7.0,6.2,,2,6.6,6.6
newtown,2016,['Documentary'],,,87.0,68.0,2,,,8.7,6.8,2,7.75,7.75
nine lives,2016,['Comedy'],,,11.0,41.0,2,,,1.1,4.1,2,2.5999999999999996,2.5999999999999996
no stranger than love,2016,['Romance'],,,29.0,16.0,2,,,2.9,1.6,2,2.25,2.25
norm of the north,2016,"['Action & Adventure', 'Animation', 'Comedy']",,,21.0,22.0,2,,,2.1,2.2,2,2.1500000000000004,2.1500000000000004
norman lear just another version of you,2016,['Documentary'],,,66.0,67.0,2,,,6.6,6.7,2,6.65,6.65
notes on blindness,2016,"['Documentary', 'Special Interest']",,,75.0,70.0,2,,,7.5,7.0,2,7.25,7.25
oasis supersonic,2016,['Documentary'],,,71.0,87.0,2,,,7.1,8.7,2,7.8999999999999995,7.8999999999999995
ones below,2016,"['Art House & International', 'Mystery & Suspense']",,,63.0,47.0,2,,,6.3,4.7,2,5.5,5.5
operation avalanche,2016,"['Drama', 'Mystery & Suspense']",,,69.0,52.0,2,,,6.9,5.2,2,6.050000000000001,6.050000000000001
operation chromite,2016,['Drama'],,,50.0,52.0,2,,,5.0,5.2,2,5.1,5.1
ordinary world,2016,"['Comedy', 'Drama', 'Musical & Performing Arts']",,,55.0,46.0,2,,,5.5,4.6,2,5.05,5.05
other side of the door,2016,"['Horror', 'Mystery & Suspense']",,,41.0,29.0,2,,,4.1,2.9,2,3.5,3.5
our kind of traitor,2016,"['Drama', 'Mystery & Suspense']",,,57.0,50.0,2,,,5.7,5.0,2,5.35,5.35
outlaws and angels,2016,"['Mystery & Suspense', 'Western']",,,40.0,49.0,2,,,4.0,4.9,2,4.45,4.45
papa hemingway in cuba,2016,['Drama'],,,37.0,53.0,2,,,3.7,5.3,2,4.5,4.5
parched,2016,['Drama'],,,67.0,67.0,2,,,6.7,6.7,2,6.7,6.7
pele birth of a legend,2016,['Drama'],,4.5,,69.0,2,,9.0,,6.9,2,7.95,7.95
perfect match,2016,['Comedy'],,,41.0,44.0,2,,,4.1,4.4,2,4.25,4.25
pet,2016,['Mystery & Suspense'],,,48.0,32.0,2,,,4.8,3.2,2,4.0,4.0
phantasm ravager,2016,['Horror'],,,48.0,28.0,2,,,4.8,2.8,2,3.8,3.8
phenom,2016,['Drama'],,,66.0,38.0,2,,,6.6,3.8,2,5.199999999999999,5.199999999999999
precious cargo,2016,"['Action', 'Crime']",,1.0,,22.0,2,,2.0,,2.2,2,2.1,2.1
presenting princess shaw,2016,"['Art House & International', 'Documentary', 'Musical & Performing Arts']",,,77.0,65.0,2,,,7.7,6.5,2,7.1,7.1
program,2016,['Drama'],,,53.0,43.0,2,,,5.3,4.3,2,4.8,4.8
raiders the story of the greatest fan film ever made,2016,['Documentary'],,,70.0,78.0,2,,,7.0,7.8,2,7.4,7.4
red turtle,2016,['Animation'],,4.5,86.0,,2,,9.0,8.6,,2,8.8,8.8
regression,2016,"['Drama', 'Mystery & Suspense']",,,32.0,21.0,2,,,3.2,2.1,2,2.6500000000000004,2.6500000000000004
remember,2016,"['Art House & International', 'Drama', 'Mystery & Suspense']",,,52.0,79.0,2,,,5.2,7.9,2,6.550000000000001,6.550000000000001
risk,2016,['Documentary'],,4.0,72.0,,2,,8.0,7.2,,2,7.6,7.6
rocky horror picture show lets do the time warp again,2016,"['Comedy', 'Horror', 'Sci-Fi', 'Thriller']",,1.5,,25.0,2,,3.0,,2.5,2,2.75,2.75
rules dont apply,2016,"['Comedy', 'Drama', 'Romance']",,,60.0,33.0,2,,,6.0,3.3,2,4.65,4.65
sea of trees,2016,['Drama'],,,23.0,42.0,2,,,2.3,4.2,2,3.25,3.25
search party,2016,['Comedy'],,,22.0,31.0,2,,,2.2,3.1,2,2.6500000000000004,2.6500000000000004
shut in,2016,['Mystery & Suspense'],,,25.0,22.0,2,,,2.5,2.2,2,2.35,2.35
silent voice,2016,"['Animation', 'Drama', 'Romance']",,4.0,78.0,,2,,8.0,7.8,,2,7.9,7.9
siren,2016,"['Horror', 'Mystery & Suspense']",,,54.0,41.0,2,,,5.4,4.1,2,4.75,4.75
skiptrace,2016,['Action & Adventure'],,,50.0,27.0,2,,,5.0,2.7,2,3.85,3.85
sky ladder the art of cai guoqiang,2016,['Documentary'],,,73.0,83.0,2,,,7.3,8.3,2,7.800000000000001,7.800000000000001
southside with you,2016,"['Drama', 'Romance']",,,74.0,71.0,2,,,7.4,7.1,2,7.25,7.25
standoff,2016,['Thriller'],,2.5,,44.0,2,,5.0,,4.4,2,4.7,4.7
stefan zweig farewell to europe,2016,['Drama'],,3.0,75.0,,2,,6.0,7.5,,2,6.75,6.75
sun choke,2016,['Horror'],,,58.0,42.0,2,,,5.8,4.2,2,5.0,5.0
