norm_title,year_cluster,rating_imdb,rating_metacritic,rating_movielens,rating_rt_audience,title,year,release_date,genres,ID_IMDB,ID_METACRITIC,ID_MOVIELENS
riki oh the story of ricky,1,,,,89.0,riki oh the story of ricky,2002,,"['Action & Adventure', 'Art House & International', 'Drama', 'Mystery & Suspense']",,,
rim of the world,0,,,,23.0,rim of the world,2019,,"['Action & Adventure', 'Science Fiction & Fantasy']",,,
ring,0,,,1.0,,ring,1927,,['Drama'],,,1659.0
ring,1,,,3.2,,ring,2002,,"['Horror', 'Mystery', 'Thriller']",,,4014.0
ring of fire,0,,,,33.0,ring of fire,2016,,['Drama'],,,
ring of terror,0,,,0.5,,ring of terror,1962,,['Horror'],,,4408.0
ring two,0,,,2.3,,ring two,2005,,"['Drama', 'Horror', 'Mystery', 'Thriller']",,,5706.0
ringer,0,,,2.8,,ringer,2005,,['Comedy'],,,6077.0
ringmaster,0,,,,21.0,ringmaster,1998,,['Comedy'],,,
rings,0,,25.0,,8.0,rings,2017,,"['Drama', 'Horror']",,3559.0,
ringu,0,7.2,,3.5,,ringu,1998,,"['Horror', 'Mystery']",927.0,,4271.0
ringu,1,,,,97.0,ringu,2019,,"['Drama', 'Horror']",,,
ringu 0 basudei,0,,,3.0,,ringu 0 basudei,2000,,"['Drama', 'Horror', 'Thriller']",,,5847.0
ringu 2,0,,,,0.0,ringu 2,2005,,"['Art House & International', 'Horror']",,,
rink,0,,,3.5,,rink,1916,,['Comedy'],,,8153.0
rio,0,6.9,63.0,3.1,72.0,rio,2011,,"['Adventure', 'Animation', 'Comedy']",2376.0,4338.0,7570.0
rio 2,0,6.3,49.0,2.0,48.0,rio 2,2014,,"['Adventure', 'Animation', 'Comedy']",2810.0,4644.0,8394.0
rio bravo,0,,,3.7,100.0,rio bravo,1959,,['Western'],,,3204.0
rio conchos,0,,,,50.0,rio conchos,1964,,"['Action & Adventure', 'Classics', 'Drama', 'Western']",,,
rio grande,0,,,3.5,77.0,rio grande,1950,,"['Romance', 'Western']",,,4075.0
rio lobo,0,,,,68.0,rio lobo,1971,,"['Action & Adventure', 'Classics', 'Western']",,,
riot girls,0,,,,90.0,riot girls,2019,,"['Action & Adventure', 'Mystery & Suspense', 'Science Fiction & Fantasy']",,,
riot in cell block 11,0,,,,100.0,riot in cell block 11,1954,,"['Action & Adventure', 'Drama', 'Mystery & Suspense']",,,
rip a remix manifesto,0,,,,42.0,rip a remix manifesto,2009,,"['Documentary', 'Musical & Performing Arts', 'Special Interest']",,,
ripe,0,,,,0.0,ripe,2012,,['Drama'],,,
ripley s game,0,,,3.3,92.0,ripley s game,2002,,"['Drama', 'Thriller']",,,5629.0
ripple effect,0,,,,29.0,ripple effect,2008,,['Drama'],,,
rise blood hunter,0,,,,36.0,rise blood hunter,2007,,"['Horror', 'Mystery & Suspense']",,,
rise of the footsoldier,0,,,4.5,14.0,rise of the footsoldier,2007,,"['Action', 'Crime', 'Drama']",,,6662.0
rise of the guardians,0,7.2,57.0,3.8,75.0,rise of the guardians,2012,,"['Action', 'Adventure', 'Animation']",2383.0,3281.0,8022.0
rise of the legend,0,,,,63.0,rise of the legend,2016,,"['Action & Adventure', 'Art House & International', 'Drama']",,,
rise of the planet apes,0,7.6,68.0,3.5,82.0,rise of the planet apes,2011,,"['Action', 'Drama', 'Sci-Fi']",2279.0,5254.0,7645.0
risen,0,,51.0,0.5,53.0,risen,2016,,"['Action', 'Adventure', 'Drama', 'Mystery']",,3117.0,9191.0
rising from ashes,0,,,,79.0,rising from ashes,2013,,"['Documentary', 'Special Interest', 'Sports & Fitness']",,,
rising high,0,,,,33.0,rising high,2020,,"['Art House & International', 'Comedy', 'Drama']",,,
rising sun,0,,56.0,3.3,33.0,rising sun,1993,,"['Action', 'Drama', 'Mystery', 'Thriller', 'Crime']",,1904.0,453.0
risk,0,,72.0,4.0,,risk,2016,,['Documentary'],,5838.0,9404.0
risky business,0,6.8,75.0,3.4,92.0,risky business,1983,,"['Comedy', 'Crime', 'Drama']",153.0,900.0,2192.0
ritchie boys,0,,,,100.0,ritchie boys,2006,,"['Documentary', 'Musical & Performing Arts']",,,
riten the rite,0,,,,71.0,riten the rite,1969,,"['Art House & International', 'Drama', 'Television']",,,
rites of spring,0,,,,11.0,rites of spring,2012,,"['Horror', 'Mystery & Suspense']",,,
river,0,,,3.5,,river,1984,,['Drama'],,,2350.0
river,1,,,,85.0,river,2016,,"['Art House & International', 'Mystery & Suspense']",,,
river of grass,0,,,,95.0,river of grass,1995,,"['Art House & International', 'Comedy', 'Drama']",,,
river of no return,0,,,,57.0,river of no return,1954,,"['Action & Adventure', 'Classics', 'Drama', 'Western']",,,
river runs red,0,,,,22.0,river runs red,2018,,"['Action & Adventure', 'Mystery & Suspense']",,,
river runs through it a,0,,,3.9,,river runs through it a,1992,,['Drama'],,,2341.0
river s edge,0,,,3.5,87.0,river s edge,1986,,"['Crime', 'Drama']",,,3130.0
river s edge,1,,,,71.0,river s edge,2019,,['Drama'],,,
river wild,0,,,3.2,,river wild,1994,,"['Action', 'Thriller']",,,334.0
rivers and tides,0,,,5.0,,rivers and tides,2001,,['Documentary'],,,4760.0
rivers and tides andy goldsworthy working with time,0,,82.0,,99.0,rivers and tides andy goldsworthy working with time,2002,,['Documentary'],,6878.0,
rize,0,,74.0,3.5,84.0,rize,2005,,"['Music', 'Documentary']",,5466.0,5909.0
rko 281,0,,,3.5,,rko 281,1999,,['Drama'],,,5596.0
ro go pa g,0,,,3.0,,ro go pa g,1963,,"['Comedy', 'Drama']",,,7813.0
road,0,,,3.9,,road,2009,,"['Adventure', 'Drama', 'Thriller']",,,6868.0
road games,0,,,,91.0,road games,1981,,"['Action & Adventure', 'Art House & International', 'Drama', 'Mystery & Suspense']",,,
road games,1,,,,84.0,road games,2016,,"['Drama', 'Mystery & Suspense']",,,
road hard,0,,50.0,,50.0,road hard,2015,,['Comedy'],,6923.0,
road house,0,6.7,36.0,2.8,39.0,road house,1989,,"['Action', 'Thriller']",340.0,1492.0,3416.0
road movie,0,,,,67.0,road movie,2010,,"['Action & Adventure', 'Art House & International', 'Comedy', 'Drama', 'Romance']",,,
road to bali,0,,,,71.0,road to bali,1952,,"['Action & Adventure', 'Comedy', 'Musical & Performing Arts']",,,
road to el dorado,0,,,3.1,,road to el dorado,2000,,"['Animation', 'Children']",,,2603.0
road to guantanamo,0,,,3.5,,road to guantanamo,2006,,"['Drama', 'War']",,,6223.0
road to morocco,0,,,3.5,,road to morocco,1942,,['Comedy'],,,3749.0
road to morocco,1,,,,92.0,road to morocco,2016,,"['Action & Adventure', 'Classics', 'Comedy', 'Kids & Family']",,,
road to nowhere,0,,59.0,,73.0,road to nowhere,2011,,"['Thriller', 'Romance']",,2190.0,
road to paloma,0,,44.0,,57.0,road to paloma,2014,,"['Drama', 'Thriller']",,1760.0,
road to perdition,0,7.7,72.0,3.5,81.0,road to perdition,2002,,"['Crime', 'Drama', 'Thriller']",1069.0,3278.0,3886.0
road to singapore,0,,,,100.0,road to singapore,1940,,"['Classics', 'Comedy', 'Drama', 'Musical & Performing Arts', 'Romance']",,,
road to utopia,0,,,,100.0,road to utopia,1945,,"['Classics', 'Comedy']",,,
road to victory,0,,,,78.0,road to victory,2007,,"['Art House & International', 'Drama', 'Sports & Fitness']",,,
road to wellville,0,,,2.4,,road to wellville,1994,,['Comedy'],,,454.0
road to zanzibar,0,,,,89.0,road to zanzibar,1941,,"['Action & Adventure', 'Classics', 'Comedy', 'Drama', 'Musical & Performing Arts']",,,
road trip,0,6.5,55.0,3.1,58.0,road trip,2000,,['Comedy'],991.0,6343.0,2693.0
road warrior,0,,,4.0,,road warrior,1981,,"['Action', 'Adventure', 'Sci-Fi', 'Thriller']",,,2762.0
roadie,0,,61.0,,68.0,roadie,2012,,['Drama'],,5880.0,
roadside prophets,0,,,,83.0,roadside prophets,2008,,"['Action & Adventure', 'Comedy']",,,
roadside romeo,0,,,,50.0,roadside romeo,2008,,"['Animation', 'Art House & International', 'Comedy', 'Kids & Family']",,,
roar,0,,,,71.0,roar,1981,,"['Action & Adventure', 'Comedy', 'Kids & Family', 'Mystery & Suspense']",,,
rob roy,0,,55.0,3.5,,rob roy,1995,,"['Action', 'Biography', 'Drama', 'History', 'Romance', 'War']",,1458.0,125.0
rob the mob,0,,63.0,,81.0,rob the mob,2014,,"['Drama', 'Crime']",,7182.0,
robert the bruce,0,,,,44.0,robert the bruce,2020,,"['Action & Adventure', 'Drama']",,,
roberta,0,,,4.0,86.0,roberta,1935,,"['Comedy', 'Musical', 'Romance']",,,4723.0
robin and marian,0,,,3.2,73.0,robin and marian,1976,,"['Adventure', 'Drama', 'Romance']",,,3908.0
robin and the seven hoods,0,,,,40.0,robin and the seven hoods,1964,,"['Classics', 'Comedy', 'Drama', 'Musical & Performing Arts', 'Mystery & Suspense']",,,
robin b hood,0,,,3.0,,robin b hood,2006,,"['Action', 'Comedy', 'Drama']",,,7218.0
robin hood,0,,,,100.0,robin hood,1922,,"['Action & Adventure', 'Classics', 'Kids & Family', 'Romance']",,,
robin hood,1,7.5,57.0,3.5,54.0,robin hood,1973,,"['Adventure', 'Animation', 'Comedy']",29.0,2967.0,2286.0
robin hood,2,6.6,53.0,3.2,43.0,robin hood,2010,,"['Action', 'Adventure', 'Drama']",1919.0,5602.0,7317.0
robin hood,3,5.3,32.0,,15.0,robin hood,2018,,"['Action', 'Adventure', 'Drama']",3087.0,7025.0,
robin hood men in tights,0,6.7,44.0,3.1,40.0,robin hood men in tights,1993,,"['Adventure', 'Comedy', 'Musical']",486.0,2436.0,456.0
robin hood prince of thieves,0,6.9,51.0,3.0,51.0,robin hood prince of thieves,1991,,"['Action', 'Adventure', 'Drama']",404.0,3642.0,785.0
robin williams come inside my mind,0,,74.0,,,robin williams come inside my mind,2018,,"['Biography', 'Comedy', 'Documentary']",,7613.0,
robin williams live on broadway,0,,,3.0,,robin williams live on broadway,2002,,['Comedy'],,,9499.0
robinson crusoe on mars,0,,,2.0,94.0,robinson crusoe on mars,1964,,['Sci-Fi'],,,5444.0
robocop,0,7.6,67.0,3.4,90.0,robocop,1987,,"['Action', 'Crime', 'Sci-Fi']",273.0,2498.0,2247.0
robocop,1,6.1,52.0,2.3,48.0,robocop,2014,,"['Action', 'Crime', 'Sci-Fi']",2214.0,5258.0,8341.0
robocop 2,0,5.8,42.0,2.6,30.0,robocop 2,1990,,"['Action', 'Crime', 'Sci-Fi']",374.0,958.0,2248.0
robocop 3,0,4.1,40.0,2.4,6.0,robocop 3,1993,,"['Action', 'Crime', 'Sci-Fi']",487.0,1653.0,455.0
robogeisha,0,,,3.0,,robogeisha,2009,,"['Action', 'Comedy', 'Sci-Fi']",,,8297.0
robot and frank,0,,67.0,,,robot and frank,2012,,"['Sci-Fi', 'Drama', 'Comedy', 'Crime']",,4093.0,
robot carnival,0,,,4.0,,robot carnival,1987,,"['Animation', 'Comedy', 'Drama', 'Fantasy', 'Sci-Fi']",,,5178.0
robot frank,0,7.0,,3.0,86.0,robot frank,2012,,"['Comedy', 'Crime', 'Drama']",2698.0,,7964.0
robot jox,0,,,1.0,,robot jox,1990,,['Sci-Fi'],,,5068.0
robot overlords,0,,,1.5,61.0,robot overlords,2014,,"['Action', 'Adventure', 'Sci-Fi']",,,8939.0
robot stories,0,,66.0,,74.0,robot stories,2004,,"['Sci-Fi', 'Drama']",,3458.0,
robots,0,6.4,64.0,3.0,64.0,robots,2005,,"['Adventure', 'Animation', 'Comedy']",1323.0,4647.0,5806.0
robyn hitchcock storefront,0,,,,88.0,robyn hitchcock storefront,1998,,"['Documentary', 'Musical & Performing Arts']",,,
rocco and his brothers,0,,,3.5,89.0,rocco and his brothers,1960,,"['Crime', 'Drama']",,,5759.0
rocco and his brothers,1,,84.0,,,rocco and his brothers,2002,,"['Drama', 'Crime']",,6853.0,
rock,0,,,3.6,,rock,1996,,"['Action', 'Adventure', 'Thriller']",,,593.0
rock a bye baby,0,,,,63.0,rock a bye baby,1958,,"['Classics', 'Comedy']",,,
rock a doodle,0,,,2.0,20.0,rock a doodle,1991,,"['Adventure', 'Animation', 'Children', 'Musical']",,,6968.0
rock dog,0,,48.0,,47.0,rock dog,2017,,"['Adventure', 'Comedy', 'Music', 'Animation', 'Family']",,2590.0,
rock n roll frankenstein,0,,,,60.0,rock n roll frankenstein,2015,,"['Comedy', 'Horror']",,,
rock n roll high school,0,,,,81.0,rock n roll high school,1979,,['Comedy'],,,
rock of ages,0,5.9,47.0,2.8,43.0,rock of ages,2012,,"['Comedy', 'Drama', 'Musical']",2302.0,4643.0,7898.0
rock rubber 45s,0,,,,100.0,rock rubber 45s,2018,,['Documentary'],,,
rock school,0,,67.0,3.5,,rock school,2005,,"['Music', 'Documentary']",,2649.0,5895.0
rock star,0,,54.0,2.5,53.0,rock star,2001,,"['Drama', 'Comedy', 'Music']",,6104.0,3480.0
rock the bells,0,,70.0,,83.0,rock the bells,2007,,"['Music', 'Documentary']",,57.0,
rock the kasbah,0,,29.0,2.0,7.0,rock the kasbah,2015,,"['Comedy', 'Music']",,6059.0,9092.0
rockaway,0,,,,64.0,rockaway,2019,,['Drama'],,,
rocker,0,,,2.8,,rocker,2008,,['Comedy'],,,6815.0
rockers,0,,,,86.0,rockers,1980,,"['Action & Adventure', 'Comedy', 'Drama', 'Musical & Performing Arts']",,,
rocket science,0,,73.0,3.2,84.0,rocket science,2007,,"['Drama', 'Comedy']",,7521.0,6528.0
rocket singh salesman of the year,0,,,4.0,88.0,rocket singh salesman of the year,2009,,"['Comedy', 'Drama']",,,7863.0
rocketeer,0,,,3.3,,rocketeer,1991,,"['Action', 'Adventure', 'Sci-Fi']",,,1557.0
rocketman,0,,,2.1,25.0,rocketman,1997,,"['Children', 'Comedy', 'Romance', 'Sci-Fi']",,,1237.0
rocketman,1,7.3,69.0,,89.0,rocketman,2019,,"['Biography', 'Drama', 'Music']",2719.0,6991.0,
rocknrolla,0,7.2,53.0,3.8,60.0,rocknrolla,2008,,"['Action', 'Crime', 'Thriller']",1992.0,1355.0,6862.0
rockstar,0,,,,83.0,rockstar,2011,,"['Musical & Performing Arts', 'Romance']",,,
rocky,0,8.1,70.0,3.8,94.0,rocky,1976,,"['Drama', 'Sport']",59.0,3101.0,1431.0
rocky balboa,0,7.1,63.0,3.3,77.0,rocky balboa,2006,,"['Action', 'Drama', 'Sport']",1721.0,2673.0,6345.0
rocky horror picture show,0,,,3.3,,rocky horror picture show,1975,,"['Comedy', 'Horror', 'Musical', 'Sci-Fi']",,,1997.0
rocky ii,0,7.3,61.0,3.2,71.0,rocky ii,1979,,"['Drama', 'Sport']",88.0,2759.0,1809.0
rocky iii,0,6.8,57.0,2.7,63.0,rocky iii,1982,,"['Drama', 'Sport']",134.0,3364.0,1810.0
rocky iv,0,6.9,40.0,2.7,40.0,rocky iv,1985,,"['Drama', 'Sport']",217.0,1182.0,1811.0
rocky road to dublin,0,,,,89.0,rocky road to dublin,1968,,"['Documentary', 'Special Interest']",,,
rocky v,0,5.3,55.0,1.9,29.0,rocky v,1990,,"['Drama', 'Sport']",375.0,8595.0,1812.0
rodan,0,,,,70.0,rodan,1956,,"['Drama', 'Horror', 'Science Fiction & Fantasy']",,,
rodents of unusual size,0,,,,98.0,rodents of unusual size,2018,,['Documentary'],,,
rodin,0,,39.0,,32.0,rodin,2018,,"['Biography', 'Drama', 'Romance']",,382.0,
rodney king,0,,,,100.0,rodney king,2017,,['Drama'],,,
roger corman s death race 2050,0,,,,88.0,roger corman s death race 2050,2017,,['Action & Adventure'],,,
roger dodger,0,,75.0,3.7,88.0,roger dodger,2002,,"['Drama', 'Comedy']",,8344.0,4060.0
roger me,0,,,3.8,100.0,roger me,1989,,['Documentary'],,,1529.0
roger waters the wall,0,,,,100.0,roger waters the wall,2015,,"['Documentary', 'Musical & Performing Arts']",,,
rogue,0,,,3.5,,rogue,2007,,"['Action', 'Adventure', 'Horror', 'Sci-Fi', 'Thriller']",,,6773.0
rogue,1,,,,71.0,rogue,2020,,"['Action & Adventure', 'Mystery & Suspense']",,,
rogue one,0,7.8,,,,rogue one,2016,,"['Action', 'Adventure', 'Sci-Fi']",3018.0,,
rogue one a star wars story,0,,65.0,3.9,84.0,rogue one a star wars story,2016,,"['Action', 'Adventure', 'Sci-Fi', 'Fantasy', 'War']",,4904.0,9416.0
role models,0,6.8,61.0,3.6,77.0,role models,2008,,['Comedy'],1571.0,2349.0,6871.0
roll bounce,0,,59.0,2.0,65.0,roll bounce,2005,,"['Drama', 'Comedy', 'Romance', 'Music']",,7608.0,5996.0
roll red,0,,83.0,,,roll red,2019,,['Documentary'],,6565.0,
rollerball,0,,56.0,3.5,66.0,rollerball,1975,,"['Action', 'Sci-Fi', 'Sport']",,332.0,3922.0
rollerball,1,,14.0,1.8,3.0,rollerball,2002,,"['Action', 'Sci-Fi', 'Sport']",,8643.0,3690.0
rollercoaster,0,,,2.5,,rollercoaster,1977,,"['Drama', 'Thriller']",,,1899.0
rolling family,0,,,,59.0,rolling family,2006,,"['Art House & International', 'Comedy', 'Drama']",,,
rolling thunder revue a bob dylan story by martin scorsese,0,,86.0,,92.0,rolling thunder revue a bob dylan story by martin scorsese,2019,,"['Biography', 'Music', 'Documentary']",,6474.0,
rollo and the woods sprite,0,,,2.0,,rollo and the woods sprite,2001,,"['Children', 'Fantasy']",,,7805.0
rollover,0,,,,78.0,rollover,1981,,"['Drama', 'Mystery & Suspense', 'Romance']",,,
roma,0,,96.0,,96.0,roma,2018,,['Drama'],,3489.0,
roman de gare,0,,71.0,,87.0,roman de gare,2007,,['Drama'],,5498.0,
roman holiday,0,,78.0,4.1,97.0,roman holiday,1953,,"['Drama', 'Comedy', 'Romance']",,6696.0,699.0
roman j israel esq,0,,58.0,1.5,54.0,roman j israel esq,2017,,"['Drama', 'Crime']",,6704.0,9626.0
roman polanski wanted and desired,0,,78.0,,85.0,roman polanski wanted and desired,2008,,"['Crime', 'Documentary']",,7658.0,
romance,0,,49.0,4.0,,romance,1999,,"['Drama', 'Romance', 'Adult', 'Adult']",,2152.0,2178.0
romance cigarettes,0,,55.0,,52.0,romance cigarettes,2007,,"['Comedy', 'Romance', 'Musical']",,2801.0,
romance on the high seas,0,,,,88.0,romance on the high seas,1948,,"['Classics', 'Comedy', 'Musical & Performing Arts', 'Romance']",,,
romancing the stone,0,6.9,63.0,3.5,85.0,romancing the stone,1984,,"['Action', 'Adventure', 'Comedy']",181.0,3190.0,1806.0
romantico,0,,,,96.0,romantico,2006,,"['Documentary', 'Musical & Performing Arts', 'Special Interest']",,,
romantics,0,,,3.0,,romantics,2010,,"['Comedy', 'Drama', 'Romance']",,,7454.0
romantics anonymous,0,,69.0,,86.0,romantics anonymous,2011,,"['Comedy', 'Romance']",,6151.0,
rome open city a k,0,,,4.0,,rome open city a k,1945,,"['Drama', 'War']",,,3789.0
romeo and juliet,0,,,,78.0,romeo and juliet,1936,,"['Classics', 'Drama', 'Romance']",,,
romeo and juliet,1,,,3.7,95.0,romeo and juliet,1968,,"['Drama', 'Romance']",,,2728.0
romeo and juliet,2,,,,23.0,romeo and juliet,2013,,"['Musical & Performing Arts', 'Special Interest']",,,
romeo and juliet sealed with a kiss,0,,,,20.0,romeo and juliet sealed with a kiss,2006,,"['Animation', 'Kids & Family', 'Science Fiction & Fantasy']",,,
romeo is bleeding,0,,,3.2,26.0,romeo is bleeding,1993,,"['Crime', 'Thriller']",,,457.0
romeo juliet,0,6.7,60.0,,72.0,romeo juliet,1996,,"['Drama', 'Romance']",643.0,7390.0,
romeo juliet,1,,41.0,,,romeo juliet,2013,,"['Drama', 'Romance']",,2965.0,
romeo juliet in yiddish,0,,,,75.0,romeo juliet in yiddish,2011,,"['Comedy', 'Drama']",,,
romeo must die,0,6.1,52.0,3.1,32.0,romeo must die,2000,,"['Action', 'Crime', 'Thriller']",903.0,2109.0,2581.0
romero,0,,,,78.0,romero,1989,,['Drama'],,,
romper stomper,0,,,3.3,79.0,romper stomper,1992,,"['Action', 'Drama']",,,458.0
romulus my father,0,,,,55.0,romulus my father,2008,,['Drama'],,,
romy and michele s high school reunion,0,,59.0,3.0,73.0,romy and michele s high school reunion,1997,,['Comedy'],,1849.0,1150.0
rondo,0,,,,80.0,rondo,2018,,['Mystery & Suspense'],,,
ronin,0,7.2,67.0,3.5,68.0,ronin,1998,,"['Action', 'Crime', 'Thriller']",801.0,2712.0,1693.0
rookie,0,,,2.2,,rookie,1990,,"['Action', 'Comedy', 'Thriller']",,,4580.0
rookie,1,,,3.3,,rookie,2002,,['Drama'],,,3767.0
rookie of the year,0,,,2.5,,rookie of the year,1993,,"['Comedy', 'Fantasy']",,,3694.0
rookie of the year,1,,,,35.0,rookie of the year,2015,,"['Comedy', 'Kids & Family', 'Science Fiction & Fantasy']",,,
room,0,,,3.7,,room,2003,,"['Comedy', 'Drama', 'Romance']",,,7261.0
room,1,,64.0,,,room,2006,,['Drama'],,3726.0,
room,2,8.1,86.0,3.6,93.0,room,2015,,"['Drama', 'Thriller']",2948.0,8126.0,8992.0
room 237,0,,80.0,,94.0,room 237,2013,,['Documentary'],,3110.0,
room 6,0,,,,33.0,room 6,2006,,"['Horror', 'Mystery & Suspense']",,,
room at the top,0,,,4.0,,room at the top,1959,,['Drama'],,,2389.0
room for rent,0,,,,88.0,room for rent,2018,,"['Comedy', 'Mystery & Suspense']",,,
room for romeo brass a,0,,,4.0,,room for romeo brass a,1999,,"['Comedy', 'Drama']",,,6065.0
room in rome,0,,,2.8,,room in rome,2010,,"['Drama', 'Romance']",,,7555.0
room with a view,0,,,3.7,,room with a view,1986,,"['Drama', 'Romance']",,,994.0
roommate,0,,,2.0,,roommate,2011,,"['Drama', 'Thriller']",,,7598.0
roommates,0,,,3.7,29.0,roommates,1995,,"['Comedy', 'Drama']",,,265.0
rooster cogburn,0,,,,44.0,rooster cogburn,1975,,"['Action & Adventure', 'Western']",,,
roots,0,,,3.2,,roots,1977,,"['Drama', 'War']",,,7063.0
rope,0,,73.0,3.9,94.0,rope,1948,,"['Drama', 'Mystery', 'Thriller', 'Crime']",,4474.0,1630.0
rory o shea was here,0,,59.0,4.5,49.0,rory o shea was here,2004,,"['Drama', 'Comedy']",,2304.0,5769.0
rory scovel tries stand up for the first time,0,,,1.5,,rory scovel tries stand up for the first time,2017,,['Comedy'],,,9576.0
rose marie,0,,,,83.0,rose marie,1936,,"['Action & Adventure', 'Classics', 'Comedy', 'Drama', 'Musical & Performing Arts', 'Western', 'Romance']",,,
rose red,0,,,3.0,,rose red,2002,,"['Horror', 'Mystery', 'Thriller']",,,4973.0
rose tattoo,0,,,3.5,,rose tattoo,1955,,"['Drama', 'Romance']",,,5344.0
roseanne for president,0,,,,60.0,roseanne for president,2016,,"['Comedy', 'Documentary']",,,
rosemary s baby,0,,96.0,4.2,96.0,rosemary s baby,1968,,"['Drama', 'Horror']",,4377.0,1616.0
rosencrantz and guildenstern are dead,0,,,4.0,60.0,rosencrantz and guildenstern are dead,1990,,"['Comedy', 'Drama']",,,942.0
rosencrantz and guildenstern are undead,0,,45.0,,40.0,rosencrantz and guildenstern are undead,2010,,['Comedy'],,177.0,
rosenstrasse,0,,,,55.0,rosenstrasse,2004,,"['Art House & International', 'Drama']",,,
rosenwald,0,,67.0,,,rosenwald,2015,,"['Biography', 'Documentary']",,424.0,
rosetta,0,,76.0,4.0,,rosetta,1999,,['Drama'],,7187.0,2267.0
rosewater,0,,67.0,,76.0,rosewater,2014,,"['Biography', 'Drama']",,6746.0,
rosewood,0,,71.0,3.3,87.0,rosewood,1997,,"['Action', 'Drama', 'History']",,3403.0,1123.0
rosie,0,,83.0,,,rosie,2019,,['Drama'],,10.0,
rough magic,0,,,4.0,,rough magic,1995,,"['Drama', 'Romance']",,,1168.0
rough night,0,5.2,51.0,3.2,44.0,rough night,2017,,['Comedy'],3116.0,7056.0,9507.0
round midnight,0,,,3.5,100.0,round midnight,1986,,"['Drama', 'Musical']",,,5516.0
rounders,0,7.3,54.0,3.9,65.0,rounders,1998,,"['Crime', 'Drama']",815.0,1840.0,1661.0
roustabout,0,,,,56.0,roustabout,1964,,"['Classics', 'Musical & Performing Arts', 'Romance']",,,
roving mars,0,,58.0,,71.0,roving mars,2006,,"['Documentary', 'Short']",,6200.0,
roxanne,0,,,3.3,88.0,roxanne,1987,,"['Comedy', 'Romance']",,,5247.0
roxanne,1,,74.0,,70.0,roxanne,2018,,['Drama'],,4300.0,
roxie hart,0,,,,82.0,roxie hart,2017,,"['Classics', 'Comedy', 'Musical & Performing Arts']",,,
royal flash,0,,,4.0,,royal flash,1975,,"['Adventure', 'Comedy', 'Romance']",,,5797.0
royal tenenbaums,0,,,3.7,,royal tenenbaums,2001,,"['Comedy', 'Drama']",,,3624.0
royal wedding,0,,,3.0,92.0,royal wedding,1951,,"['Comedy', 'Musical', 'Romance']",,,3725.0
rubber,0,,59.0,3.8,69.0,rubber,2010,,"['Sci-Fi', 'Drama', 'Mystery', 'Horror', 'Comedy']",,8620.0,7425.0
rubberneck,0,,57.0,,,rubberneck,2013,,"['Drama', 'Thriller']",,456.0,
rubble kings,0,,62.0,,,rubble kings,2015,,['Documentary'],,444.0,
ruben brandt collector,0,,75.0,,,ruben brandt collector,2019,,"['Action', 'Drama', 'Thriller', 'Crime', 'Animation']",,8830.0,
ruby bridges,0,,,,83.0,ruby bridges,1997,,"['Documentary', 'Drama', 'Kids & Family', 'Television']",,,
ruby in paradise,0,,,3.5,,ruby in paradise,1993,,['Drama'],,,459.0
ruby quentin,0,,,2.5,,ruby quentin,2003,,"['Comedy', 'Crime']",,,5749.0
ruby red,0,,,4.0,,ruby red,2013,,"['Adventure', 'Children', 'Fantasy', 'Sci-Fi']",,,8782.0
ruby sparks,0,7.2,67.0,3.5,79.0,ruby sparks,2012,,"['Comedy', 'Drama', 'Fantasy']",2627.0,4090.0,7930.0
rudderless,0,,52.0,4.5,64.0,rudderless,2014,,"['Drama', 'Comedy', 'Music']",,1235.0,8554.0
rude boy,0,,,4.0,,rude boy,1980,,"['Documentary', 'Drama']",,,3752.0
rudo y cursi,0,,,,73.0,rudo y cursi,2009,,"['Comedy', 'Drama']",,,
rudolph and frosty christmas in july,0,,,,20.0,rudolph and frosty christmas in july,1979,,"['Animation', 'Kids & Family']",,,
rudolph the red nosed reindeer,0,,,3.8,95.0,rudolph the red nosed reindeer,1964,,"['Adventure', 'Animation', 'Children', 'Fantasy', 'Musical']",,,7224.0
rudy,0,,,3.5,78.0,rudy,1993,,['Drama'],,,460.0
rudyard kipling s the jungle book,0,,,,80.0,rudyard kipling s the jungle book,1994,,"['Action & Adventure', 'Drama', 'Kids & Family']",,,
rugrats go wild,0,,38.0,,39.0,rugrats go wild,2003,,"['Adventure', 'Comedy', 'Animation', 'Family']",,2407.0,
rugrats in paris the movie,0,,,2.2,76.0,rugrats in paris the movie,2000,,"['Animation', 'Children', 'Comedy']",,,2975.0
rugrats in paris the movie ii,0,,62.0,,,rugrats in paris the movie ii,2000,,"['Adventure', 'Comedy', 'Animation', 'Family']",,7910.0,
rugrats movie,0,,,2.5,,rugrats movie,1998,,"['Animation', 'Children', 'Comedy']",,,1756.0
ruin me,0,,,,83.0,ruin me,2019,,['Horror'],,,
ruins,0,,,3.5,,ruins,2008,,"['Horror', 'Thriller']",,,6708.0
rules don t apply,0,,60.0,,54.0,rules don t apply,2016,,"['Drama', 'Comedy', 'Romance']",,7525.0,
rules of attraction,0,,,3.6,,rules of attraction,2002,,"['Comedy', 'Drama', 'Romance', 'Thriller']",,,4005.0
rules of engagement,0,,,3.1,36.0,rules of engagement,2000,,"['Drama', 'Thriller']",,,2624.0
rules of the game,0,,,3.5,,rules of the game,1939,,"['Comedy', 'Drama']",,,4559.0
