title,release_year,genres,rating_imdb,rating_metacritic,rating_movielens,rating_rt_audience
Kung Fu Panda 2,2011,"['Action', 'Adventure', 'Animation']",7.2,7.7,3.3,74.0
Kung Fu Panda 3,2016,"['Action', 'Adventure', 'Animation']",7.1,7.4,3.4,78.0
Kung Fu Yoga,2017,"['Action', 'Adventure', 'Mystery', 'Comedy']",,4.5,,24.0
Kung Pow: Enter the Fist,2002,"['Action', 'Comedy']",,8.6,3.2,
Kurt Cobain About a Son,2007,"['Music', 'Documentary']",,7.6,,78.0
Kurt Cobain: Montage of Heck,2015,"['Biography', 'Music', 'Documentary']",,7.8,3.0,81.0
Kurt & Courtney,1998,['Documentary'],,,4.0,44.0
L.A. Confidential,1997,"['Crime', 'Drama', 'Mystery']",8.2,8.9,4.1,94.0
L.A. Slasher,2015,"['Comedy', 'Crime', 'Fantasy']",,,5.0,31.0
L.A. Story,1991,"['Drama', 'Fantasy', 'Comedy', 'Romance']",,7.2,3.5,75.0
L'Enfant (The Child),2006,"['Drama', 'Romance', 'Crime']",,8.7,,72.0
L.I.E.,2001,['Drama'],,6.4,4.3,78.0
La Femme Nikita,1990,"['Action', 'Drama', 'Thriller', 'Romance', 'Crime']",,7.4,,84.0
La La Land,2016,"['Comedy', 'Drama', 'Music']",8.0,8.4,3.4,81.0
La mission,2010,['Drama'],,6.5,,72.0
La Moustache,2005,"['Drama', 'Mystery', 'Thriller']",,6.6,,66.0
La Mujer de Mi Hermano,2006,['Drama'],,7.4,,59.0
La Sapienza,2015,['Drama'],,6.8,,50.0
La Vie En Rose,2007,"['Biography', 'Drama', 'Music']",7.6,8.0,,84.0
Labor Day,2013,"['Drama', 'Romance', 'Thriller']",6.9,6.6,,54.0
Labyrinth,1986,"['Adventure', 'Family', 'Fantasy']",7.3,8.4,3.8,86.0
Ladder 49,2004,"['Action', 'Drama', 'Thriller']",6.5,8.0,3.7,81.0
Ladies in Lavender.,2005,"['Drama', 'Mystery', 'Romance', 'Music']",,8.0,,66.0
Ladrón que roba a ladrón,2007,"['Action', 'Adventure', 'Comedy', 'Crime']",,7.6,,73.0
Lady and the Tramp,1955,"['Animation', 'Children', 'Comedy', 'Romance']",,,3.4,80.0
Lady Bird,2017,"['Comedy', 'Drama']",7.4,7.6,3.3,79.0
Lady in the Water,2006,"['Drama', 'Fantasy', 'Mystery']",5.5,6.3,2.8,49.0
Lady in White (a.k.a. The Mystery of the Lady in White),1988,"['Horror', 'Mystery', 'Thriller']",,,1.8,69.0
Lady Jane,1986,"['Drama', 'Romance']",,,5.0,76.0
Lady Macbeth,2017,['Drama'],,6.7,,71.0
Ladybugs,1992,['Comedy'],,,3.0,42.0
Ladyhawke,1985,"['Adventure', 'Fantasy', 'Romance']",,,3.3,74.0
Lagaan: Once Upon a Time in India,2001,"['Drama', 'Sport', 'Romance', 'Musical']",,8.3,4.2,93.0
Laggies,2014,"['Drama', 'Comedy', 'Romance']",,6.5,5.0,50.0
Lake City,2008,['Drama'],,5.2,,34.0
Lake of Fire,2007,['Documentary'],,7.1,,91.0
Lake Placid,1999,"['Action', 'Comedy', 'Horror']",5.8,6.1,2.7,
Lakeview Terrace,2008,"['Crime', 'Drama', 'Thriller']",6.2,4.9,3.0,39.0
Lamb,2016,['Drama'],,5.5,,54.0
Lambert & Stamp,2015,"['Biography', 'History', 'Music', 'Documentary']",,4.5,,52.0
Land Ho!,2014,"['Adventure', 'Comedy']",,6.2,,54.0
Land of Mine,2016,"['Drama', 'History', 'War']",,7.7,,88.0
Land of Plenty,2004,['Drama'],,5.9,3.5,62.0
Land of the Blind,2006,['Drama'],,6.6,,63.0
Land of the Dead,2005,"['Horror', 'Sci-Fi', 'Thriller']",6.2,4.8,3.1,51.0
Land of the Lost,2009,"['Action', 'Adventure', 'Comedy']",5.3,5.0,3.2,32.0
Landline,2017,['Comedy'],,6.3,,64.0
Lantana,2001,"['Drama', 'Mystery', 'Thriller', 'Crime']",,8.3,3.8,82.0
Lara Croft: Tomb Raider,2001,"['Action', 'Adventure', 'Fantasy']",5.7,5.9,2.9,47.0
Lara Croft: Tomb Raider - The Cradle of Life,2003,"['Action', 'Adventure', 'Fantasy']",5.5,8.0,2.6,44.0
Larger Than Life,1996,['Comedy'],,,2.8,29.0
Larry Crowne,2011,"['Comedy', 'Drama', 'Romance']",6.1,5.8,2.8,41.0
Larry the Cable Guy: Health Inspector,2006,"['Comedy', 'Romance']",,2.8,,52.0
Lars and the Real Girl,2007,"['Comedy', 'Drama', 'Romance']",7.3,8.2,3.6,84.0
Lassie,2006,"['Adventure', 'Drama', 'Comedy', 'Family']",,7.1,,64.0
Last Action Hero,1993,"['Action', 'Adventure', 'Comedy']",6.5,8.7,2.9,47.0
Last Call at the Oasis,2012,['Documentary'],,6.4,,88.0
Last Chance Harvey,2008,"['Drama', 'Romance']",,6.3,,53.0
Last Dance,1996,['Drama'],,,3.0,50.0
Last Days,2005,"['Biography', 'Drama', 'Music']",,5.3,3.0,50.0
Last Days in the Desert,2016,"['Adventure', 'Drama', 'History']",,5.8,,45.0
Last Days in Vietnam,2014,"['History', 'War', 'Documentary']",,7.8,,84.0
"Last Days of Disco, The",1998,"['Comedy', 'Drama']",,,4.5,66.0
Last Flag Flying,2017,"['Drama', 'Comedy', 'War']",,7.4,,71.0
Last Holiday,1950,"['Comedy', 'Drama', 'Romance']",,,4.0,79.0
Last Holiday,2006,"['Adventure', 'Drama', 'Comedy']",,6.9,3.5,67.0
Last Knights,2015,"['Action', 'Adventure']",,7.3,3.0,46.0
Last Love,2013,"['Drama', 'Comedy']",,5.3,,53.0
Last Man Standing,1996,"['Action', 'Crime', 'Drama']",6.4,,2.5,51.0
Last Night,1998,"['Sci-Fi', 'Drama']",,8.3,4.0,85.0
Last Night,2011,"['Drama', 'Romance']",,6.9,,46.0
Last Orders,2001,['Drama'],,5.6,3.0,
Last Shift,2014,['Horror'],,,4.0,51.0
Last Tango in Paris,1972,"['Drama', 'Romance']",6.9,,4.5,76.0
Last Train Home,2009,"['Drama', 'Documentary']",,7.9,3.0,87.0
Last Vegas,2013,['Comedy'],6.6,6.9,2.0,59.0
Last Weekend,2014,"['Drama', 'Comedy']",,5.1,,35.0
Late Marriage (Hatuna Meuheret),2001,"['Comedy', 'Drama', 'Romance']",,,3.5,79.0
Late Night Shopping,2001,['Comedy'],,,4.5,78.0
Late Phases,2014,"['Drama', 'Horror']",,5.3,,44.0
Latter Days,2003,"['Drama', 'Comedy', 'Romance']",,7.6,3.5,79.0
Laura,1944,"['Crime', 'Film-Noir', 'Mystery']",,,4.3,90.0
Laurel Canyon,2002,['Drama'],,,3.0,52.0
Laurence Anyways,2013,"['Drama', 'Romance']",,7.7,,79.0
Lavender,2017,"['Drama', 'Thriller']",,3.9,,27.0
Law Abiding Citizen,2009,"['Action', 'Crime', 'Drama']",7.4,6.9,3.1,75.0
"Law of Desire (Ley del deseo, La)",1987,"['Comedy', 'Drama', 'Romance']",,,4.0,82.0
Lawless,2012,"['Biography', 'Crime', 'Drama']",7.2,7.9,3.6,74.0
Lawrence of Arabia,1962,"['Adventure', 'Drama', 'War']",,,4.3,93.0
Laws of Attraction,2004,"['Comedy', 'Romance']",,5.8,2.8,47.0
Lay the Favorite,2012,['Comedy'],,5.1,,19.0
Layer Cake,2004,"['Drama', 'Thriller', 'Crime']",,8.7,3.8,84.0
Lazer Team,2016,"['Action', 'Sci-Fi', 'Comedy']",,6.8,,69.0
LBJ,2017,"['Biography', 'Drama']",,7.8,4.0,54.0
Le divorce,2003,"['Drama', 'Comedy', 'Romance']",,6.4,,26.0
Le Havre,2011,"['Drama', 'Comedy']",,7.0,,75.0
Le petit lieutenant,2006,"['Drama', 'Crime']",,7.9,,64.0
Le Week-End,2014,"['Drama', 'Comedy']",,6.9,,56.0
Lean on Me,1989,['Drama'],,,3.5,85.0
Lean on Pete,2018,"['Adventure', 'Drama']",,7.7,,74.0
Leap!,2017,"['Adventure', 'Comedy', 'Animation', 'Family', 'Musical']",,6.0,,62.0
Leap of Faith,1992,"['Comedy', 'Drama']",,,2.3,45.0
Leap Year,2010,"['Comedy', 'Romance']",6.4,6.0,2.4,47.0
Learning to Drive,2015,"['Drama', 'Comedy', 'Romance']",,6.5,,58.0
Least Among Saints,2012,['Drama'],,3.2,,87.0
Leatherface,2017,"['Thriller', 'Horror']",,4.9,,24.0
Leatherheads,2008,"['Drama', 'Sport', 'Comedy', 'Romance']",,5.6,2.4,38.0
Leave It to Beaver,1997,['Comedy'],,,1.8,31.0
Leave No Trace,2018,['Drama'],,7.6,,81.0
Leaves of Grass,2009,"['Drama', 'Thriller', 'Comedy', 'Crime']",,7.2,3.2,49.0
Leaving,2010,"['Drama', 'Romance']",,6.6,,48.0
Leaving Las Vegas,1995,"['Drama', 'Romance']",7.5,8.9,3.6,85.0
Lebanon,2010,"['Drama', 'War']",,6.4,,72.0
Lee Daniels' The Butler,2013,"['Biography', 'Drama', 'History']",,6.7,1.5,78.0
Left Behind,2014,"['Action', 'Sci-Fi', 'Thriller']",,2.6,,38.0
Left Behind: The Movie,2000,"['Action', 'Adventure', 'Drama', 'Thriller']",,,4.2,56.0
Legal Eagles,1986,"['Comedy', 'Crime', 'Romance']",,,2.6,32.0
Legally Blonde,2001,"['Comedy', 'Romance']",6.4,7.0,3.2,72.0
"Legally Blonde 2: Red, White & Blonde",2003,['Comedy'],4.8,5.7,2.4,43.0
Legend,1985,"['Adventure', 'Fantasy', 'Romance']",6.3,4.9,3.1,73.0
Legend,2015,"['Biography', 'Crime', 'Drama']",6.9,8.5,3.5,59.0
Legend of the Fist: The Return of Chen Zhen,2011,"['Action', 'Drama', 'History']",,6.1,,53.0
Legend of the Guardians: The Owls of Ga'Hoole,2010,"['Action', 'Adventure', 'Animation']",6.9,7.0,4.0,63.0
Legendary,2010,"['Drama', 'Sport']",,6.6,,59.0
Legends of Oz: Dorothy's Return,2014,"['Animation', 'Family', 'Musical']",,5.3,,68.0
Legends of the Fall,1994,"['Drama', 'Romance', 'War']",7.5,7.0,3.4,87.0
Legion,2010,"['Action', 'Fantasy', 'Horror']",5.3,4.4,2.8,31.0
Legionnaire,1998,"['Action', 'Adventure', 'Drama', 'War']",,,0.5,30.0
Lemony Snicket's A Series of Unfortunate Events,2004,"['Adventure', 'Fantasy', 'Comedy', 'Family']",,6.9,3.2,63.0
Len and Company,2016,"['Drama', 'Comedy']",,6.0,,54.0
Lenny,1974,['Drama'],,,3.8,88.0
Leonard Part 6,1987,"['Comedy', 'Sci-Fi']",,,0.8,20.0
Leprechaun,1993,"['Comedy', 'Horror']",,,2.3,32.0
Leprechaun 2,1994,"['Comedy', 'Fantasy', 'Horror']",,,2.5,29.0
Leprechaun 4: In Space,1997,"['Comedy', 'Fantasy', 'Horror', 'Sci-Fi']",,,0.5,21.0
Les Misérables,2012,"['Drama', 'Musical', 'Romance']",7.5,,,79.0
Less Than Zero,1987,['Drama'],,,3.5,63.0
Let It Ride,1989,"['Action', 'Comedy']",,8.6,3.5,75.0
Let Me In,2010,"['Drama', 'Fantasy', 'Horror']",7.1,8.5,3.9,76.0
Let's Be Cops,2014,"['Action', 'Comedy', 'Crime']",6.4,6.4,3.1,51.0
Let's Go to Prison,2006,"['Comedy', 'Crime']",,5.9,1.3,48.0
Let the Bullets Fly,2012,"['Action', 'Comedy']",,7.3,,71.0
Let the Right One In,2008,"['Drama', 'Fantasy', 'Horror']",7.8,8.7,3.9,90.0
Let the Sunshine In,2018,"['Drama', 'Comedy', 'Romance']",,5.9,,31.0
Lethal Weapon,1987,"['Action', 'Crime', 'Thriller']",7.6,8.6,3.7,86.0
Lethal Weapon 2,1989,"['Action', 'Crime', 'Thriller']",7.3,8.6,3.2,77.0
Lethal Weapon 3,1992,"['Action', 'Crime', 'Thriller']",6.7,7.3,2.9,61.0
Lethal Weapon 4,1998,"['Action', 'Crime', 'Thriller']",6.6,8.1,2.8,64.0
Letters from Baghdad,2017,['Documentary'],,7.1,,64.0
Letters from Iwo Jima,2006,"['Action', 'Adventure', 'Drama']",7.8,8.2,3.7,86.0
Letters to God,2010,"['Drama', 'Family']",,5.4,,75.0
Letters to Juliet,2010,"['Adventure', 'Comedy', 'Drama']",6.5,6.2,2.8,62.0
Leviathan,2013,['Drama'],,5.9,2.0,80.0
Levity,2003,"['Drama', 'Crime']",,6.1,4.0,
Liar Liar,1997,"['Comedy', 'Fantasy']",6.9,8.8,3.0,
Libeled Lady,1936,"['Comedy', 'Romance']",,,3.5,88.0
Liberal Arts,2012,"['Drama', 'Comedy']",,7.2,3.0,60.0
Liberty Heights,1999,"['Drama', 'Romance', 'Music']",,8.8,4.0,76.0
Licence to Kill,1989,"['Action', 'Adventure', 'Thriller']",6.6,7.3,3.3,61.0
License to Drive,1988,['Comedy'],,,2.3,61.0
License to Wed,2007,"['Comedy', 'Romance']",,4.7,2.3,53.0
Lies,1999,['Drama'],,5.8,,51.0
Life,1999,"['Comedy', 'Crime', 'Drama']",6.8,9.1,3.2,77.0
Life,2015,"['Biography', 'Drama']",,5.3,,44.0
Life,2017,"['Horror', 'Sci-Fi', 'Thriller']",6.6,6.3,,54.0
"Life, Above All",2011,['Drama'],,7.1,,82.0
Life After Beth,2014,"['Drama', 'Fantasy', 'Horror', 'Comedy', 'Romance']",,6.7,3.5,30.0
Life and Debt,2001,['Documentary'],,8.3,4.0,
"Life, Animated",2016,"['Drama', 'Romance', 'Animation', 'Family', 'Documentary']",,8.1,,81.0
Life as a House,2001,"['Drama', 'Romance']",,7.6,3.9,88.0
Life as We Know It,2010,"['Comedy', 'Drama', 'Romance']",6.5,5.6,3.0,61.0
Life During Wartime,2010,"['Drama', 'Comedy']",,5.5,,48.0
Life Is Beautiful,1997,"['Comedy', 'Drama', 'Romance']",8.6,7.7,4.1,96.0
Life Itself,2014,"['Biography', 'Documentary']",,8.4,,88.0
Life of Crime,2014,"['Comedy', 'Crime']",,6.6,,37.0
Life of Pi,2012,"['Adventure', 'Drama', 'Fantasy']",7.9,7.9,3.6,84.0
Life of the Party,2018,['Comedy'],,4.9,,39.0
Life on the Line,2016,"['Action', 'Drama']",,5.1,,35.0
Life or Something Like It,2002,"['Comedy', 'Romance']",,4.3,2.8,44.0
Life Partners,2014,"['Comedy', 'Romance']",,5.8,3.0,46.0
Life Stinks,1991,['Comedy'],,,1.5,45.0
Life with Father,1947,['Comedy'],,,3.5,78.0
Life with Mikey,1993,['Comedy'],,,3.0,40.0
Lifeboat,1944,"['Drama', 'War']",,,4.4,87.0
Lifeforce,1985,"['Horror', 'Sci-Fi']",,,2.5,45.0
Light of My Life,2019,['Drama'],,5.6,,74.0
Lightning in a Bottle,2004,['Documentary'],,,4.0,88.0
Lights Out,2016,"['Horror', 'Mystery']",6.3,6.8,3.0,61.0
Like Crazy,2011,"['Drama', 'Romance']",6.6,7.3,2.5,61.0
Like Father,2018,"['Drama', 'Comedy']",,4.7,,46.0
"Like Father, Like Son",2014,['Drama'],,7.9,,89.0
Like Mike,2002,"['Sport', 'Fantasy', 'Comedy', 'Family']",,5.9,2.5,52.0
Like Someone in Love,2013,['Drama'],,7.1,,60.0
Like Stars on Earth (Taare Zameen Par),2007,['Drama'],,,4.5,96.0
Like Water for Chocolate,1992,"['Drama', 'Romance']",,7.7,3.9,84.0
Lila & Eve,2015,"['Drama', 'Thriller']",,7.3,,41.0
Lila Says,2005,"['Drama', 'Romance', 'Crime']",,7.8,,77.0
Lilies of the Field,1963,['Drama'],,,3.8,86.0
Lilo & Stitch,2002,"['Adventure', 'Animation', 'Comedy']",7.3,8.5,3.8,77.0
Lilting,2014,"['Drama', 'Romance']",,6.3,4.5,80.0
Lilya 4-Ever,2002,"['Drama', 'Crime']",,8.4,3.5,
Limbo,1999,['Drama'],,,4.0,69.0
Limelight,1952,"['Comedy', 'Drama', 'Romance']",,,3.7,90.0
Limelight,2011,['Documentary'],,5.7,,64.0
Limitless,2011,"['Sci-Fi', 'Thriller']",7.4,7.4,4.0,74.0
Lincoln,2012,"['Biography', 'Drama', 'History']",7.3,7.5,4.5,81.0
Linda Ronstadt: The Sound of My Voice,2019,"['Music', 'Documentary']",,7.3,,99.0
Lion,2016,"['Biography', 'Drama']",8.0,7.8,4.5,91.0
Lionheart,1990,['Action'],,,0.5,52.0
Lions for Lambs,2007,"['Crime', 'Drama', 'Mystery']",6.2,5.1,4.0,47.0
Listen Up Philip,2014,['Drama'],,6.6,,54.0
"Literally, Right Before Aaron",2017,"['Drama', 'Comedy']",,2.8,,48.0
Little,2019,"['Fantasy', 'Comedy', 'Romance']",,4.7,,60.0
Little Accidents,2015,['Drama'],,5.3,,29.0
Little Ashes,2008,"['Biography', 'Drama']",,8.0,2.5,49.0
Little Big League,1994,"['Comedy', 'Drama']",,,2.7,53.0
Little Big Man,1970,"['Adventure', 'Drama', 'History', 'War', 'Western']",,7.9,4.1,87.0
Little Big Soldier (Da bing xiao jiang),2010,"['Action', 'Adventure', 'Comedy', 'Drama', 'War']",,,3.5,69.0
Little Black Book,2004,"['Drama', 'Comedy', 'Romance']",,9.0,2.2,37.0
Little Boy,2015,"['Drama', 'Comedy', 'War']",,6.3,,78.0
Little Buddha,1993,['Drama'],,,3.2,53.0
Little Caesar,1931,"['Crime', 'Drama']",,,4.0,75.0
Little Children,2006,"['Drama', 'Romance']",7.5,7.3,3.9,82.0
Little Darlings,1980,"['Drama', 'Comedy']",,4.5,2.0,
Little Fish,2006,"['Drama', 'Thriller', 'Romance', 'Crime']",,7.2,,57.0
Little Fockers,2010,"['Comedy', 'Romance']",5.5,6.8,1.8,34.0
Little Giants,1994,"['Children', 'Comedy']",,,2.5,63.0
Little Jerusalem,2006,['Drama'],,6.3,,67.0
Little Lord Fauntleroy,1936,['Drama'],,,4.0,73.0
Little Man,2005,"['Comedy', 'Crime']",4.5,5.7,1.0,55.0
Little Man Tate,1991,['Drama'],,,3.4,66.0
Little Manhattan,2005,"['Comedy', 'Romance', 'Family']",,8.7,,86.0
Little Men,2016,"['Drama', 'Family']",,7.8,,63.0
Little Miss Sunshine,2006,"['Comedy', 'Drama']",7.8,,3.9,91.0
Little Monsters,1989,['Comedy'],,,2.2,62.0
Little Nicky,2000,"['Comedy', 'Fantasy']",5.3,5.7,2.5,56.0
Little Nikita,1988,['Drama'],,,3.0,45.0
Little Pink House,2018,['Drama'],,5.5,,80.0
Little Shop of Horrors,1986,"['Comedy', 'Horror', 'Musical']",7.1,7.7,3.3,79.0
Little Sister,2016,"['Drama', 'Comedy']",,6.1,,56.0
Little Voice,1998,"['Drama', 'Comedy', 'Romance', 'Music']",,8.7,3.9,74.0
Little White Lies,2012,"['Drama', 'Comedy']",,6.5,,64.0
Little Women,1933,"['Drama', 'Romance']",,,4.0,78.0
Little Women,1949,['Drama'],,,3.5,83.0
Little Women,1994,"['Drama', 'Family', 'Romance']",7.3,7.9,3.9,84.0
Little Women,2018,"['Drama', 'Romance']",7.8,3.0,,70.0
Little Woods,2019,"['Drama', 'Crime', 'Western']",,7.4,,53.0
Littlerock,2011,['Drama'],,6.6,,71.0
Live and Let Die,1973,"['Action', 'Adventure', 'Thriller']",6.7,6.5,3.7,64.0
Live by Night,2016,"['Action', 'Crime', 'Drama']",6.4,7.3,,41.0
Live Flesh,1997,"['Drama', 'Thriller', 'Romance']",,6.7,3.9,87.0
Live Free or Die Hard,2007,"['Action', 'Thriller']",7.1,6.9,3.4,86.0
Live-In Maid,2007,['Drama'],,8.3,,75.0
Live Nude Girls,1995,['Comedy'],,,5.0,39.0
Live Wire,1992,['Action'],,,4.0,30.0
Living in Oblivion,1995,"['Drama', 'Comedy']",,8.1,4.3,87.0
Living Out Loud,1998,"['Comedy', 'Drama', 'Romance']",,,3.0,63.0
Liyana,2018,"['Animation', 'Documentary']",,8.0,,74.0
Lizzie,2018,"['Biography', 'Drama', 'Mystery', 'Thriller', 'Crime']",,5.9,,48.0
Lo and Behold: Reveries of the Connected World,2016,['Documentary'],,7.5,,67.0
Loaded Weapon 1,1993,"['Action', 'Comedy', 'Crime']",6.2,,2.2,
Local Hero,1983,['Comedy'],,,4.1,87.0
"Lock, Stock and Two Smoking Barrels",1999,"['Thriller', 'Comedy', 'Crime']",,8.3,,93.0
Locke,2013,['Drama'],7.1,7.7,3.8,72.0
Lockout,2012,"['Action', 'Sci-Fi', 'Thriller']",6.0,7.8,3.2,46.0
Logan,2017,"['Action', 'Drama', 'Sci-Fi']",8.1,8.4,4.3,90.0
Logan Lucky,2017,"['Action', 'Comedy', 'Crime']",7.0,6.8,4.5,76.0
Logan's Run,1976,"['Action', 'Adventure', 'Sci-Fi']",6.8,,3.2,67.0
Loggerheads,2005,['Drama'],,7.8,,65.0
LOL,2012,"['Comedy', 'Drama', 'Romance']",4.4,,3.5,51.0
Lola Versus,2012,['Comedy'],,6.0,1.5,31.0
Lolita,1962,"['Drama', 'Romance']",,,3.5,84.0
Lolita,1997,"['Drama', 'Romance']",6.8,7.7,3.9,75.0
London,2005,"['Drama', 'Romance']",,8.1,3.0,60.0
London Boulevard,2010,"['Romance', 'Crime']",,5.8,1.5,30.0
London Fields,2018,"['Mystery', 'Thriller', 'Crime']",,4.6,,48.0
London Has Fallen,2016,"['Action', 'Thriller']",5.9,5.1,2.0,51.0
London Town,2016,['Drama'],,,2.5,68.0
Lone Star,1996,"['Drama', 'Mystery', 'Romance', 'Western']",,7.9,4.2,83.0
Lone Survivor,2013,"['Action', 'Biography', 'Drama']",7.5,7.5,3.0,87.0
Lonely Are the Brave,1962,"['Drama', 'Western']",,,4.0,85.0
Lonely Hearts,2006,"['Drama', 'Thriller', 'Romance', 'Crime']",,8.0,,49.0
Lonesome Jim,2006,"['Drama', 'Comedy']",,6.9,,57.0
Long Day's Journey Into Night,1962,['Drama'],,,3.5,86.0
Long Shot,2019,"['Comedy', 'Romance']",6.8,6.5,,74.0
Look,2007,"['Drama', 'Thriller']",,4.3,,56.0
Look Both Ways,2006,"['Drama', 'Mystery', 'Romance']",,6.2,,75.0
Look Who's Talking,1989,['Comedy'],5.9,7.6,2.4,47.0
Look Who's Talking Now,1993,"['Children', 'Comedy', 'Romance']",,,1.6,29.0
Look Who's Talking Too,1990,"['Comedy', 'Romance']",,,1.8,32.0
Looker,1981,"['Drama', 'Horror', 'Sci-Fi', 'Thriller']",,,4.5,42.0
Looking for Comedy in the Muslim World,2005,['Comedy'],,5.9,3.5,27.0
Looking for Eric,2010,"['Drama', 'Sport', 'Fantasy', 'Comedy']",,7.0,,78.0
Looking for Richard,1996,"['Documentary', 'Drama']",,,3.9,79.0
Looking Glass,2018,['Thriller'],,5.1,,10.0
Looney Tunes: Back in Action,2003,"['Adventure', 'Comedy', 'Animation', 'Family']",,7.0,2.8,50.0
Looper,2012,"['Action', 'Drama', 'Sci-Fi']",7.4,8.2,3.6,82.0
Loose Cannons,1990,"['Action', 'Comedy']",,,2.0,26.0
Loosies,2012,"['Drama', 'Comedy', 'Romance']",,6.3,,34.0
Lord of Illusions,1995,['Horror'],,,2.8,52.0
Lord of the Flies,1963,"['Adventure', 'Drama', 'Thriller']",,,3.0,63.0
Lord of the Flies,1989,"['Adventure', 'Drama', 'Thriller']",,,3.4,52.0
Lord of War,2005,"['Crime', 'Drama']",7.6,8.8,3.7,84.0
Lords of Chaos,2019,"['Biography', 'Drama', 'Thriller', 'Horror', 'Music']",,4.9,,61.0
Lords of Dogtown,2005,"['Biography', 'Drama', 'Sport']",7.1,7.8,3.0,81.0
Lore,2013,"['Drama', 'Thriller', 'War']",,7.6,,76.0
Lorenzo's Oil,1992,['Drama'],,8.5,3.3,80.0
Lorna's Silence,2008,['Drama'],,6.9,,69.0
Loro,2019,"['Biography', 'Drama']",,5.5,,59.0
Los Angeles Plays Itself,2003,"['History', 'Documentary']",,8.2,3.5,85.0
Loser,2000,"['Comedy', 'Romance']",,8.8,3.3,35.0
Losing Control,2012,['Comedy'],,3.3,,55.0
Losing Isaiah,1995,['Drama'],,,3.5,73.0
Lost and Delirious,2001,"['Drama', 'Romance']",,7.8,3.6,78.0
Lost & Found,1999,"['Comedy', 'Romance']",,6.0,2.8,
Lost Highway,1997,"['Mystery', 'Thriller']",7.6,8.0,3.3,87.0
Lost Horizon,1937,['Drama'],,,4.0,83.0
Lost in America,1985,['Comedy'],,8.0,2.5,77.0
Lost in La Mancha,2002,['Documentary'],,7.6,3.1,77.0
Lost in Paris,2017,['Comedy'],,5.7,,67.0
Lost in Space,1998,"['Action', 'Adventure', 'Family']",5.2,6.1,2.4,24.0
Lost in the Sun,2015,"['Action', 'Drama', 'Thriller']",,,2.0,37.0
Lost in Translation,2003,"['Comedy', 'Drama']",7.7,7.5,4.0,85.0
Lost River,2015,"['Drama', 'Mystery', 'Thriller', 'Fantasy']",,6.9,,38.0
Lottery Ticket,2010,['Comedy'],,5.8,,44.0
Louder Than Bombs,2016,['Drama'],,6.9,,52.0
loudQUIETloud: A Film About the Pixies,2006,"['Music', 'Documentary']",,8.0,,77.0
Love,2015,"['Drama', 'Romance']",6.1,5.8,4.5,38.0
Love Actually,2003,"['Comedy', 'Drama', 'Romance']",7.6,8.6,3.8,72.0
Love Affair,1939,"['Comedy', 'Drama', 'Romance']",,,3.0,71.0
Love Affair,1994,"['Drama', 'Romance']",,,3.4,68.0
Love After Love,2018,['Drama'],,6.3,,40.0
Love and a .45,1994,"['Action', 'Comedy', 'Crime']",,,4.0,70.0
Love and Basketball,2000,"['Drama', 'Romance']",,,3.0,95.0
Love and Death,1975,['Comedy'],,,4.2,90.0
Love and Death on Long Island,1997,"['Drama', 'Comedy']",,7.1,3.0,58.0
Love and Other Catastrophes,1996,['Romance'],,,3.5,71.0
Love and Other Disasters,2006,"['Comedy', 'Romance']",,,3.0,57.0
Love and Other Drugs,2010,"['Comedy', 'Romance']",,3.4,2.8,53.0
Love at First Fight,2015,"['Comedy', 'Romance']",,7.1,,66.0
Love Crazy,1941,['Comedy'],,,3.5,82.0
Love Crime,2011,"['Mystery', 'Thriller', 'Crime']",,4.8,,47.0
Love Don't Cost a Thing,2003,"['Drama', 'Comedy', 'Romance']",,8.2,,65.0
Love & Friendship,2016,"['Drama', 'Comedy', 'Romance']",,6.9,,60.0
"Love, Gilda",2018,['Documentary'],,7.4,,81.0
Love Happens,2009,"['Drama', 'Romance']",,5.6,,37.0
Love in the Afternoon,1957,"['Comedy', 'Romance']",,,3.5,79.0
Love in the Time of Cholera,2007,"['Drama', 'Romance']",,5.3,,45.0
Love Is a Many-Splendored Thing,1955,"['Drama', 'Romance', 'War']",,,4.0,57.0
Love Is All You Need,2013,"['Comedy', 'Romance']",,7.0,,59.0
Love Is Strange,2014,['Drama'],,7.1,,66.0
Love Is the Devil,1998,['Drama'],,,4.0,62.0
Love Jones,1997,['Romance'],,,4.0,97.0
Love Liza,2002,['Drama'],,,3.3,77.0
"Love, Marilyn",2012,['Documentary'],,7.5,,58.0
Love Me If You Dare,2003,"['Drama', 'Comedy', 'Romance']",,8.0,4.1,89.0
Love Me Tender,1956,"['Musical', 'Western']",,,3.5,65.0
Love & Mercy,2014,"['Biography', 'Drama', 'Music']",,8.1,4.3,85.0
Love Ranch,2010,['Drama'],,8.2,,28.0
"Love, Rosie",2014,"['Comedy', 'Romance']",,6.7,3.5,63.0
Love's Labour's Lost,2000,"['Comedy', 'Romance']",,,3.0,40.0
Love Serenade,1996,['Comedy'],,,3.0,81.0
Love & Sex,2000,"['Drama', 'Comedy', 'Romance']",,7.0,,76.0
"Love, Simon",2018,"['Comedy', 'Drama']",7.5,8.1,4.0,88.0
Love Songs,2008,"['Drama', 'Romance', 'Musical']",,8.3,,78.0
Love Story,1970,"['Drama', 'Romance']",,,3.0,75.0
Love the Coopers,2015,['Comedy'],,5.0,,36.0
