norm_title,year_cluster,rating_imdb,rating_metacritic,rating_movielens,rating_rt_audience,title,release_year,genres_any
jonah a veggietales movie,1,,7.3,2.0,74.0,Jonah: A VeggieTales Movie,2002,"['Adventure', 'Drama', 'Comedy', 'Animation', 'Family', 'Musical']"
jonah hex,1,4.7,4.0,1.9,20.0,Jonah Hex,2010,"['Action', 'Drama', 'Fantasy']"
jonah who will be 25 in the year 2000,1,,,5.0,,Jonah Who Will Be 25 in the Year 2000 (Jonas qui aura 25 ans en l'an 2000),1976,['Comedy']
jonas brothers the 3d concert experience,1,,2.9,,79.0,Jonas Brothers: The 3D Concert Experience,2009,"['Music', 'Documentary']"
jonathan,1,,4.1,,56.0,Jonathan,2018,"['Sci-Fi', 'Drama']"
jonathan livingston seagull,1,,,,61.0,Jonathan Livingston Seagull,1973,"['Animation', 'Drama', 'Kids & Family']"
joneses,1,,,3.5,,"Joneses, The",2009,"['Comedy', 'Drama']"
jonestown the life and death of peoples temple,1,,,3.9,,Jonestown: The Life and Death of Peoples Temple,2006,['Documentary']
joseph and the amazing technicolor dreamcoat,1,,,,81.0,Joseph and the Amazing Technicolor Dreamcoat,2000,['Musical & Performing Arts']
josh and s a m,1,,,,48.0,Josh and S.A.M.,,"['Action & Adventure', 'Comedy', 'Drama', 'Kids & Family']"
joshua,1,,,,76.0,Joshua,2002,['Drama']
joshua,2,,6.3,,40.0,Joshua,2007,"['Drama', 'Thriller']"
joshua teenager vs superpower,1,,8.8,,,Joshua: Teenager vs. Superpower,2017,['Documentary']
joshua tree 1951 a portrait of james dean,1,,,,60.0,"Joshua Tree, 1951: A Portrait of James Dean",,"['Drama', 'Gay & Lesbian']"
joshy,1,,5.5,,54.0,Joshy,2016,['Comedy']
josie,1,,,,33.0,Josie,2018,"['Drama', 'Mystery & Suspense']"
josie and the pussycats,1,,8.6,1.8,52.0,Josie and the Pussycats,2001,"['Comedy', 'Music']"
joueuse,1,,,,72.0,Joueuse (Queen to Play),2011,"['Art House & International', 'Comedy', 'Drama']"
journey 2 the mysterious island,1,5.7,5.7,0.5,59.0,Journey 2: The Mysterious Island,2012,"['Action', 'Adventure', 'Comedy']"
journey from the fall,1,,8.0,,,Journey from the Fall,2007,['Drama']
journey into amazing caves,1,,,,72.0,Journey Into Amazing Caves,2001,"['Documentary', 'Musical & Performing Arts', 'Special Interest']"
journey of hope,1,,,,84.0,Journey of Hope,1991,"['Art House & International', 'Drama', 'Faith & Spirituality']"
journey of natty gann,1,,,3.4,,"Journey of Natty Gann, The",1985,"['Adventure', 'Children']"
journey s end,1,,6.2,,72.0,Journey's End,2018,"['Drama', 'War']"
journey to italy viaggio in italia strangers,1,,,,76.0,Journey to Italy (Viaggio in Italia) (Strangers) (The Lonely Woman),,['Drama']
journey to the center of earth,1,,,2.8,69.0,Journey to the Center of the Earth,1959,"['Adventure', 'Children', 'Sci-Fi']"
journey to the center of earth,2,5.8,5.3,2.5,51.0,Journey to the Center of the Earth,2008,"['Action', 'Adventure', 'Family']"
journey to the west,1,,6.9,,69.0,Journey to the West,2014,"['Adventure', 'Fantasy', 'Comedy']"
journey to the west conquering demons,1,,,4.8,,Journey to the West: Conquering the Demons (Daai wa sai you chi Chui mo chun kei),2013,"['Adventure', 'Comedy', 'Fantasy', 'Romance', 'IMAX']"
journey to the west demons strike back,1,,,,49.0,Journey to the West: The Demons Strike Back,2017,"['Action & Adventure', 'Comedy', 'Science Fiction & Fantasy']"
journeys with george,1,,,3.5,,Journeys with George,2002,['Documentary']
joy,1,6.6,6.5,3.2,57.0,Joy,2015,"['Biography', 'Drama']"
joy luck club,1,,,3.5,,"Joy Luck Club, The",1993,"['Drama', 'Romance']"
joy ride,1,6.6,8.7,3.1,0.0,Joy Ride,2001,"['Action', 'Mystery', 'Thriller']"
joy ride 3 road kill,1,,,,25.0,Joy Ride 3: Road Kill,,"['Horror', 'Mystery & Suspense']"
joyeux noël,1,,,3.7,89.0,Joyeux Noël (Merry Christmas),2005,"['Drama', 'War']"
joyful noise,1,,6.3,1.5,65.0,Joyful Noise,2012,"['Comedy', 'Music']"
joyride,1,,,,29.0,Joyride,1996,"['Drama', 'Mystery & Suspense']"
jsa joint security area,1,,,,91.0,JSA: Joint Security Area (Gongdong gyeongbi guyeok JSA),,"['Art House & International', 'Drama']"
ju dou,1,,,3.5,89.0,Ju Dou,1990,['Drama']
ju on the curse,1,,,3.0,,Ju-on: The Curse,2000,['Horror']
ju on the grudge,1,,,2.6,,Ju-on: The Grudge,2002,['Horror']
ju on the grudge,2,,7.5,,,Ju-on: The Grudge,2004,"['Thriller', 'Horror']"
juan of the dead,1,,,,64.0,Juan of the Dead,2012,"['Art House & International', 'Comedy', 'Horror']"
juanita,1,,,,65.0,Juanita,,['Drama']
jubal,1,,,,79.0,Jubal,1956,"['Action & Adventure', 'Classics', 'Western']"
jubilee,1,,,3.0,,Jubilee,1977,['Drama']
judas and the black messiah,1,7.4,,,,Judas and the Black Messiah,2021,"['Biography', 'Drama', 'History']"
judd apatow the return,1,,,2.5,,Judd Apatow: The Return,2017,['Comedy']
judd apatow the return,2,,,,51.0,Judd Apatow: The Return,,['Comedy']
jude,1,,7.1,3.1,73.0,Jude,1996,"['Drama', 'Romance']"
judex,1,,,,82.0,Judex,1963,"['Action & Adventure', 'Art House & International', 'Classics', 'Drama']"
judge,1,,,2.5,,"Judge, The",2014,['Drama']
judge dredd,1,5.6,,2.7,30.0,Judge Dredd,1995,"['Action', 'Crime', 'Sci-Fi']"
judgment at nuremberg,1,,,3.6,,Judgment at Nuremberg,1961,['Drama']
judgment at nuremberg,2,,8.6,,,Judgment at Nuremberg,,"['Drama', 'War']"
judgment day,1,,,,15.0,Judgment Day,1999,"['Action & Adventure', 'Comedy', 'Mystery & Suspense', 'Science Fiction & Fantasy']"
judgment night,1,,,2.2,55.0,Judgment Night,1993,"['Action', 'Crime', 'Thriller']"
judy,1,,7.4,,85.0,Judy,2019,"['Biography', 'Drama', 'History', 'Romance', 'Music', 'Musical']"
judy moody and the not bummer summer,1,,3.7,,41.0,Judy Moody and the Not Bummer Summer,2011,['Comedy']
judy punch,1,,,,60.0,Judy & Punch,2020,['Drama']
jug face,1,,4.6,,36.0,Jug Face,2013,"['Drama', 'Thriller', 'Horror']"
juggernaut,1,,,,60.0,Juggernaut,2018,['Drama']
juice,1,,6.5,4.0,90.0,Juice,1992,"['Action', 'Drama', 'Thriller', 'Crime']"
jules and jim,1,,,4.5,89.0,Jules and Jim (Jules et Jim),1961,"['Drama', 'Romance']"
julia,1,,,4.0,,Julia,1977,['Drama']
julia,2,,8.4,,67.0,Julia,2009,"['Drama', 'Thriller', 'Crime']"
julia,3,,,1.5,,Julia,2014,"['Horror', 'Thriller']"
julian schnabel a private portrait,1,,,,50.0,Julian Schnabel: A Private Portrait,2017,['Documentary']
julie julia,1,7.0,7.3,3.0,70.0,Julie & Julia,2009,"['Biography', 'Drama', 'Romance']"
julien donkey boy,1,,7.9,1.0,71.0,Julien Donkey-Boy,1999,['Drama']
juliet naked,1,,6.8,,74.0,"Juliet, Naked",2018,"['Drama', 'Comedy', 'Romance', 'Music']"
juliet of the spirits,1,,,3.2,85.0,Juliet of the Spirits (Giulietta degli spiriti),1965,"['Comedy', 'Drama', 'Fantasy', 'Romance']"
juliet of the spirits,2,,7.4,,,Juliet of the Spirits (re-release),2001,"['Drama', 'Fantasy', 'Comedy', 'Romance']"
julieta,1,,7.2,,74.0,Julieta,2016,"['Drama', 'Romance']"
julius caesar,1,,,,81.0,Julius Caesar,1953,"['Classics', 'Drama', 'Mystery & Suspense']"
julius caesar,2,,,,35.0,Julius Caesar,1970,"['Action & Adventure', 'Art House & International', 'Classics', 'Drama']"
jumanji,1,7.1,7.7,3.4,62.0,Jumanji,1995,"['Adventure', 'Comedy', 'Family']"
jumanji the next level,1,6.7,,,87.0,Jumanji: The Next Level,2019,"['Action', 'Adventure', 'Comedy']"
jumanji welcome to the jungle,1,6.9,6.7,3.7,87.0,Jumanji: Welcome to the Jungle,2017,"['Action', 'Adventure', 'Comedy']"
jump in,1,,,5.0,61.0,Jump In!,2007,"['Comedy', 'Drama', 'Romance']"
jump shot the kenny sailors story,1,,,,98.0,Jump Shot: The Kenny Sailors Story,2020,['Documentary']
jump tomorrow,1,,,3.5,88.0,Jump Tomorrow,2001,"['Comedy', 'Drama', 'Romance']"
jumper,1,6.1,7.3,3.0,44.0,Jumper,2008,"['Action', 'Adventure', 'Sci-Fi']"
jumpin jack flash,1,,,2.5,58.0,Jumpin' Jack Flash,1986,"['Action', 'Comedy', 'Romance', 'Thriller']"
jumping the broom,1,,4.8,,58.0,Jumping the Broom,2011,['Comedy']
junebug,1,,7.9,3.7,73.0,Junebug,2005,"['Drama', 'Comedy']"
jungfrukällan,1,,,,92.0,Jungfrukällan (The Virgin Spring),1960,"['Art House & International', 'Drama', 'Horror']"
jungle,1,,6.7,,59.0,Jungle,2017,"['Action', 'Adventure', 'Biography', 'Drama', 'Thriller']"
jungle 2,1,,,,33.0,Jungle 2 Jungle,1997,"['Comedy', 'Kids & Family']"
jungle book,1,,,,56.0,Jungle Book,1942,"['Action & Adventure', 'Classics', 'Drama']"
jungle book,2,,,3.8,,"Jungle Book, The",1967,"['Animation', 'Children', 'Comedy', 'Musical']"
jungle book,3,,,3.5,,"Jungle Book, The",1994,"['Adventure', 'Children', 'Romance']"
jungle book 2,1,,,3.0,,"Jungle Book 2, The",2003,"['Animation', 'Children']"
jungle cruise,1,6.6,,,,Jungle Cruise,2021,"['Action', 'Adventure', 'Comedy']"
jungle fever,1,,,3.1,,Jungle Fever,1991,"['Drama', 'Romance']"
jungle2jungle,1,,,2.1,,Jungle2Jungle (a.k.a. Jungle 2 Jungle),1997,"['Children', 'Comedy']"
junior,1,4.7,,2.8,22.0,Junior,1994,"['Comedy', 'Romance', 'Sci-Fi']"
junior and karlson,1,,,5.0,,Junior and Karlson,1968,"['Adventure', 'Animation', 'Children']"
juno,1,7.5,8.3,3.8,88.0,Juno,2007,"['Comedy', 'Drama']"
jupiter ascending,1,5.3,4.4,2.0,38.0,Jupiter Ascending,2015,"['Action', 'Adventure', 'Sci-Fi']"
jupiter s wife,1,,,3.0,,Jupiter's Wife,1994,['Documentary']
jupiter s wife,2,,,,84.0,Jupiter's Wife,,"['Documentary', 'Special Interest']"
jurassic park,1,8.2,8.9,3.8,91.0,Jurassic Park,1993,"['Action', 'Adventure', 'Sci-Fi']"
jurassic park iii,1,5.9,6.4,2.8,36.0,Jurassic Park III,2001,"['Action', 'Adventure', 'Sci-Fi']"
jurassic world,1,6.9,6.8,3.3,78.0,Jurassic World,2015,"['Action', 'Adventure', 'Sci-Fi']"
jurassic world dominion,1,5.6,,,,Jurassic World Dominion,2022,"['Action', 'Adventure', 'Sci-Fi']"
jurassic world fallen kingdom,1,6.1,5.8,3.2,48.0,Jurassic World: Fallen Kingdom,2018,"['Action', 'Adventure', 'Sci-Fi']"
juror,1,,,2.8,,"Juror, The",1996,"['Drama', 'Thriller']"
jury duty,1,,,2.7,26.0,Jury Duty,1995,['Comedy']
just 45 minutes from broadway,1,,,,71.0,Just 45 Minutes From Broadway,2012,"['Comedy', 'Drama', 'Special Interest']"
just a kiss,1,,,,29.0,Just a Kiss,2002,"['Comedy', 'Romance']"
just another girl on the i r t,1,,,,84.0,Just Another Girl on the I.R.T.,1993,"['Comedy', 'Drama']"
just before i go,1,,,1.0,,Just Before I Go,2014,"['Comedy', 'Drama']"
just before i go,2,,,,59.0,Just Before I Go,,"['Comedy', 'Drama']"
just between friends,1,,,,52.0,Just Between Friends,1986,"['Drama', 'Television', 'Romance']"
just buried,1,,,,36.0,Just Buried,2007,"['Comedy', 'Drama']"
just cause,1,,,3.5,46.0,Just Cause,1995,"['Mystery', 'Thriller']"
just charlie,1,,,,82.0,Just Charlie,2018,['Drama']
just do it a tale of modern day outlaws,1,,,,36.0,Just Do It: A Tale of Modern-day Outlaws,2011,"['Art House & International', 'Documentary', 'Special Interest']"
just eat it a food waste story,1,,,4.0,,Just Eat It: A Food Waste Story,2014,['Documentary']
just friends,1,,6.6,2.9,,Just Friends,2005,"['Comedy', 'Romance']"
just friends,2,,,,71.0,Just Friends,,"['Comedy', 'Drama', 'Romance']"
just getting started,1,,3.6,,10.0,Just Getting Started,2017,"['Action', 'Comedy']"
just go with it,1,6.4,6.4,3.2,59.0,Just Go with It,2011,"['Comedy', 'Romance']"
just jim,1,,,3.0,,Just Jim,2015,['Comedy']
just like a woman,1,,,,33.0,Just Like A Woman,2013,"['Art House & International', 'Drama']"
just like heaven,1,6.7,8.7,2.7,75.0,Just Like Heaven,2005,"['Comedy', 'Drama', 'Fantasy']"
just like us,1,,4.9,,,Just Like Us,2011,['Documentary']
just looking,1,,,,64.0,Just Looking,,['Comedy']
just married,1,5.5,5.6,2.8,,Just Married,2003,"['Comedy', 'Romance']"
just married,2,,,,47.0,Just Married,,"['Comedy', 'Romance']"
just mercy,1,7.6,,,99.0,Just Mercy,2019,"['Biography', 'Crime', 'Drama']"
just my luck,1,5.4,6.4,3.0,48.0,Just My Luck,2006,"['Comedy', 'Fantasy', 'Romance']"
just one of the guys,1,,,2.8,65.0,Just One of the Guys,1985,['Comedy']
just visiting,1,,8.2,2.0,53.0,Just Visiting,2001,"['Fantasy', 'Comedy']"
just wright,1,,5.5,,61.0,Just Wright,2010,"['Comedy', 'Romance']"
just write,1,,,,55.0,Just Write,1997,"['Comedy', 'Romance']"
justice,1,,,,67.0,Justice,2004,"['Documentary', 'Drama', 'Special Interest']"
justice league,1,6.1,6.5,2.5,71.0,Justice League,2017,"['Action', 'Adventure', 'Fantasy']"
justice league crisis on two earths,1,,,3.2,,Justice League: Crisis on Two Earths,2010,"['Action', 'Animation', 'Sci-Fi']"
justice league dark,1,,,,69.0,Justice League Dark,,"['Action & Adventure', 'Animation', 'Science Fiction & Fantasy']"
justice league dark apokolips war,1,,,,91.0,Justice League Dark: Apokolips War,,['Action & Adventure']
justice league gods and monsters,1,,,,71.0,Justice League: Gods and Monsters,,['Action & Adventure']
justice league throne of atlantis,1,,,,63.0,Justice League: Throne Of Atlantis,,"['Action & Adventure', 'Animation']"
justice league vs the fatal five,1,,,,61.0,Justice League vs the Fatal Five,,[]
justice league war,1,,,,79.0,Justice League: War,,"['Action & Adventure', 'Animation']"
justin and the knights of valour,1,,,2.0,,Justin and the Knights of Valour,2013,"['Adventure', 'Animation']"
justin and the knights of valour,2,,,,35.0,Justin and the Knights of Valour,,"['Action & Adventure', 'Animation', 'Art House & International', 'Science Fiction & Fantasy']"
justin bieber never say,1,1.7,1.7,,65.0,Justin Bieber: Never Say Never,2011,"['Documentary', 'Music']"
justin bieber s believe,1,,1.6,,59.0,Justin Bieber's Believe,2013,"['Music', 'Documentary']"
justin timberlake the tennessee kids,1,,,,73.0,Justin Timberlake + The Tennessee Kids,,"['Documentary', 'Musical & Performing Arts']"
juwanna mann,1,,5.0,1.5,39.0,Juwanna Mann,2002,"['Drama', 'Sport', 'Comedy', 'Romance']"
k 11,1,,,,43.0,K-11,2013,"['Drama', 'Mystery & Suspense']"
k 19 the widowmaker,1,6.7,6.6,3.5,52.0,K-19: The Widowmaker,2002,"['Drama', 'History', 'Thriller']"
k 9,1,,,2.0,44.0,K-9,1989,"['Action', 'Comedy', 'Crime']"
k 9 p i,1,,,,37.0,K-9: P.I.,2002,"['Action & Adventure', 'Comedy']"
k 911,1,,,,45.0,K-911,1999,"['Action & Adventure', 'Comedy']"
k pax,1,7.4,7.0,3.5,75.0,K-PAX,2001,"['Drama', 'Mystery', 'Sci-Fi']"
k2,1,,,,49.0,K2,1992,"['Action & Adventure', 'Drama', 'Special Interest']"
kabhi alvida naa kehna,1,,,,68.0,Kabhi Alvida Naa Kehna,2006,"['Art House & International', 'Drama', 'Musical & Performing Arts']"
kabhi khushi kabhie gham,1,7.4,,,88.0,Kabhi Khushi Kabhie Gham...,2001,"['Drama', 'Musical', 'Romance']"
kabluey,1,,6.8,,65.0,Kabluey,2007,['Comedy']
kaboom,1,,6.4,,41.0,Kaboom,2011,"['Sci-Fi', 'Comedy']"
kadosh,1,,4.0,,71.0,Kadosh,2000,['Drama']
kaena the prophecy,1,,6.6,,44.0,Kaena: The Prophecy,2004,"['Action', 'Adventure', 'Sci-Fi', 'Fantasy', 'Animation', 'Family']"
kagemusha,1,,,4.1,92.0,Kagemusha,1980,"['Drama', 'War']"
kahlil gibran s the prophet,1,,7.3,,75.0,Kahlil Gibran's The Prophet,2015,"['Drama', 'Animation']"
kaidan kwaidan,1,,,,90.0,Kaidan (Kwaidan) (Ghost Stories),1964,"['Art House & International', 'Drama', 'Horror', 'Science Fiction & Fantasy', 'Special Interest', 'Romance']"
kaili blues,1,,7.6,,,Kaili Blues,2016,"['Drama', 'Mystery']"
kal ho naa,1,,,,92.0,Kal Ho Naa Ho,2003,"['Art House & International', 'Comedy', 'Drama', 'Musical & Performing Arts', 'Romance']"
kalamity,1,,,,31.0,Kalamity,2010,"['Drama', 'Mystery & Suspense']"
kaleidoscope,1,,,,42.0,Kaleidoscope,2017,"['Drama', 'Mystery & Suspense']"
kalifornia,1,6.7,8.6,3.2,64.0,Kalifornia,1993,"['Crime', 'Drama', 'Thriller']"
kama sutra a tale of love,1,,,4.0,71.0,Kama Sutra: A Tale of Love,1996,['Romance']
kamikaze girls,1,,6.9,,,Kamikaze Girls,2005,['Comedy']
kamp katrina,1,,,,55.0,Kamp Katrina,2007,"['Documentary', 'Special Interest']"
kampai for the love of sake,1,,,,43.0,Kampai! For the Love of Sake,2016,['Documentary']
kandahar,1,,7.1,3.5,,Kandahar,2001,"['Biography', 'Drama', 'War']"
kangaroo jack,1,,4.7,1.8,29.0,Kangaroo Jack,2003,"['Adventure', 'Comedy', 'Crime']"
kannathil muthamittal,1,,,,93.0,Kannathil Muthamittal (A Peck on the Cheek),2002,"['Art House & International', 'Drama']"
kansas,1,,,,19.0,Kansas,1988,"['Action & Adventure', 'Drama', 'Mystery & Suspense']"
kansas city,1,,,3.7,43.0,Kansas City,1996,"['Crime', 'Drama', 'Musical', 'Thriller']"
kansas city confidential,1,,,,76.0,Kansas City Confidential (The Secret Four),1952,"['Classics', 'Drama', 'Mystery & Suspense']"
kantara,1,8.2,,,,Kantara,2022,"['Action', 'Adventure', 'Drama']"
kapo,1,,,,88.0,Kapo,1959,"['Action & Adventure', 'Art House & International', 'Drama']"
karate bullfighter,1,,,3.0,,Karate Bullfighter,1975,"['Action', 'Drama']"
karate kid,1,,,3.6,,"Karate Kid, The",1984,['Drama']
karate kid,2,,,2.5,,"Karate Kid, The",2010,"['Action', 'Children', 'Drama']"
karate kid part ii,1,,,2.8,,"Karate Kid, Part II, The",1986,"['Action', 'Adventure', 'Drama']"
karate kid part iii,1,,,1.8,,"Karate Kid, Part III, The",1989,"['Action', 'Adventure', 'Children', 'Drama']"
karl marx city,1,,,,71.0,Karl Marx City,2017,"['Art House & International', 'Documentary']"
karla,1,,,,37.0,Karla,2006,"['Drama', 'Mystery & Suspense']"
karlson returns,1,,,5.0,,Karlson Returns,1970,"['Adventure', 'Animation', 'Children']"
kart racer,1,,,,60.0,Kart Racer,2002,"['Drama', 'Kids & Family']"
karthik calling,1,,,,49.0,Karthik Calling Karthik (K.C.K.),2010,"['Art House & International', 'Comedy', 'Drama', 'Mystery & Suspense']"
kaspar hauser,1,,,4.0,,Kaspar Hauser,1993,"['Drama', 'Mystery']"
kassim the dream,1,,,,89.0,Kassim the Dream,2009,"['Documentary', 'Special Interest', 'Sports & Fitness']"
kat and the band,1,,,,60.0,Kat and the Band,,['Comedy']
kataude mashin gâru,1,,,,62.0,Kataude mashin gâru (The Machine Girl),2008,"['Action & Adventure', 'Horror']"
kate leopold,1,6.4,8.7,3.2,62.0,Kate & Leopold,2001,"['Comedy', 'Fantasy', 'Romance']"
katie says goodbye,1,,8.3,,74.0,Katie Says Goodbye,2019,['Drama']
katt williams great america,1,,,,62.0,Katt Williams: Great America,,['Comedy']
katy perry part of me,1,,6.4,,72.0,Katy Perry: Part of Me,2012,"['Music', 'Documentary']"
katyn,1,,7.2,,75.0,Katyn,2009,"['Drama', 'History', 'War']"
kazaam,1,,4.4,2.2,20.0,Kazaam,1996,"['Fantasy', 'Comedy', 'Family', 'Musical']"
keane,1,,7.6,,70.0,Keane,2005,"['Drama', 'Mystery', 'Thriller']"
keanu,1,6.2,6.3,2.5,55.0,Keanu,2016,"['Action', 'Comedy', 'Crime']"
kedi,1,,8.5,,85.0,Kedi,2017,['Documentary']
kedma,1,,,,59.0,Kedma,2003,"['Art House & International', 'Drama']"
keep on keepin,1,,,,88.0,Keep On Keepin' On,2014,"['Documentary', 'Musical & Performing Arts']"
keep quiet,1,,7.6,,,Keep Quiet,2017,['Documentary']
keep the change,1,,7.8,,,Keep the Change,2018,"['Comedy', 'Romance']"
keep the lights on,1,,8.1,,63.0,Keep the Lights On,2012,['Drama']
keep the river on your right,1,,,,50.0,Keep the River on Your Right,2000,"['Documentary', 'Special Interest']"
keep the river on your right a modern cannibal tale,1,,,3.5,,Keep the River on Your Right: A Modern Cannibal Tale,2000,['Documentary']
keep your right up,1,,,,19.0,Keep Your Right Up (Soigne ta droite),2001,"['Art House & International', 'Comedy', 'Drama']"
keeping mum,1,,7.4,,,Keeping Mum,2006,"['Comedy', 'Crime']"
keeping the faith,1,6.4,8.6,3.5,,Keeping the Faith,2000,"['Comedy', 'Drama', 'Romance']"
keeping the faith,2,,,,59.0,Keeping the Faith,,"['Comedy', 'Romance']"
keeping up with the joneses,1,5.9,6.2,3.8,37.0,Keeping Up with the Joneses,2016,"['Action', 'Comedy']"
keeping up with the steins,1,,6.1,,38.0,Keeping Up with the Steins,2006,['Comedy']
kelly cal,1,,4.7,,53.0,Kelly & Cal,2014,"['Drama', 'Comedy', 'Family']"
kelly s heroes,1,7.6,,4.1,88.0,Kelly's Heroes,1970,"['Adventure', 'Comedy', 'War']"
ken jeong you complete me ho,1,,,,38.0,"Ken Jeong: You Complete Me, Ho",,['Comedy']
ken park,1,,,4.5,,Ken Park,2002,['Drama']
kenny,1,,,,86.0,Kenny,2008,['Comedy']
kenny chesney summer in 3d,1,,,,73.0,Kenny Chesney: Summer In 3d,2010,"['Musical & Performing Arts', 'Special Interest']"
kenny company,1,,,3.0,,Kenny & Company,1976,"['Comedy', 'Drama']"
kentucky fried movie,1,,,3.5,,"Kentucky Fried Movie, The",1977,['Comedy']
kepler s dream,1,,,,78.0,Kepler's Dream,2017,"['Drama', 'Kids & Family']"
kes,1,,,,91.0,Kes,1969,"['Art House & International', 'Classics', 'Drama']"
kettle of fish,1,,3.2,,23.0,Kettle of Fish,2006,"['Comedy', 'Romance']"
kevin hart i m a grown little man,1,,,4.5,,Kevin Hart: I'm a Grown Little Man,2009,['Comedy']
kevin hart irresponsible,1,,,,100.0,Kevin Hart: Irresponsible,,['Comedy']
kevin hart laugh at my pain,1,,,3.5,,Kevin Hart: Laugh at My Pain,2011,"['Comedy', 'Documentary']"
kevin hart laugh at my pain,2,,,,84.0,Kevin Hart: Laugh At My Pain,,"['Comedy', 'Musical & Performing Arts', 'Special Interest']"
kevin hart let me explain,1,,6.6,,72.0,Kevin Hart: Let Me Explain,2013,"['Comedy', 'Documentary']"
kevin hart s guide to black history,1,,,,67.0,Kevin Hart's Guide to Black History,,"['Comedy', 'Kids & Family']"
kevin hart what now,1,,4.5,,58.0,Kevin Hart: What Now?,2016,"['Comedy', 'Documentary']"
kevin smith too fat for 40,1,,,4.5,,Kevin Smith: Too Fat For 40,2010,['Comedy']
key largo,1,,,4.2,88.0,Key Largo,1948,"['Crime', 'Drama', 'Film-Noir', 'Thriller']"
keyhole,1,,,,39.0,Keyhole,2012,"['Art House & International', 'Drama', 'Mystery & Suspense']"
keys to the house,1,,,3.0,,"Keys to the House, The (Chiavi di casa, Le)",2004,['Drama']
khakee,1,,,,78.0,Khakee (The Uniform),2004,"['Art House & International', 'Drama']"
khartoum,1,,,,65.0,Khartoum,1966,"['Action & Adventure', 'Classics', 'Drama']"
khatta meetha,1,,,,33.0,Khatta Meetha,2010,['Romance']
khodorkovsky,1,,,,71.0,Khodorkovsky,2011,"['Documentary', 'Special Interest']"
khumba,1,,,,43.0,Khumba,2013,"['Action & Adventure', 'Animation', 'Kids & Family']"
khyi rgan,1,,,,100.0,Khyi rgan (Old Dog),,"['Documentary', 'Drama']"
kick ass,1,7.6,8.5,3.7,81.0,Kick-Ass,2010,"['Action', 'Comedy', 'Crime']"
kick ass 2,1,6.5,7.0,3.5,57.0,Kick-Ass 2,2013,"['Action', 'Comedy', 'Crime']"
kickboxer,1,6.4,,2.5,65.0,Kickboxer,1989,"['Action', 'Sport', 'Thriller']"
kickboxer 2 the road back,1,,,3.5,31.0,Kickboxer 2: The Road Back,1990,"['Action', 'Drama']"
kickboxer retaliation,1,,,,69.0,Kickboxer: Retaliation,2018,"['Action & Adventure', 'Drama']"
kickboxer vengeance,1,,5.7,,43.0,Kickboxer: Vengeance,2016,['Action']
kickin it old skool,1,,4.8,2.0,,Kickin It Old Skool,2007,['Comedy']
kicking and screaming,1,,8.1,3.2,76.0,Kicking and Screaming,1995,"['Drama', 'Comedy']"
kicking it,1,,,,71.0,Kicking It,2008,"['Documentary', 'Drama', 'Special Interest', 'Sports & Fitness']"
kicking off,1,,,1.5,,Kicking Off,2016,['Comedy']
kicking screaming,1,,8.6,2.6,43.0,Kicking & Screaming,2005,"['Sport', 'Comedy', 'Family']"
kicks,1,,7.1,,73.0,Kicks,2016,['Adventure']
kid,1,,,4.1,,"Kid, The",1921,"['Comedy', 'Drama']"
kid,2,,,2.6,,"Kid, The",2000,"['Comedy', 'Fantasy']"
kid cannabis,1,,,,64.0,Kid Cannabis,2014,['Drama']
kid galahad,1,,,,68.0,Kid Galahad,1937,"['Classics', 'Drama']"
kid galahad,2,,,,57.0,Kid Galahad,1962,"['Classics', 'Drama', 'Musical & Performing Arts']"
kid in king arthur s court a,1,,,2.6,,"Kid in King Arthur's Court, A",1995,"['Adventure', 'Children', 'Comedy', 'Fantasy', 'Romance']"
kid s story,1,,,3.0,,Kid's Story,2003,"['Animation', 'Sci-Fi']"
kid stays in the picture,1,,,3.8,,"Kid Stays in the Picture, The",2002,['Documentary']
kidnap,1,,4.9,,50.0,Kidnap,2017,"['Action', 'Drama', 'Mystery', 'Thriller']"
kidnapped,1,,5.0,,49.0,Kidnapped,2011,"['Thriller', 'Horror']"
kidnapping caucasian style,1,,,4.5,,"Kidnapping, Caucasian Style (Kavkazskaya plennitsa)",1967,"['Comedy', 'Romance']"
kidnapping mr heineken,1,,5.5,2.0,24.0,Kidnapping Mr. Heineken,2015,"['Action', 'Drama', 'Thriller', 'Crime']"
kids,1,7.0,7.1,4.0,,Kids,1995,['Drama']
kids are all right,1,,,2.9,,"Kids Are All Right, The",2010,"['Comedy', 'Drama']"
kids for cash,1,,7.5,,73.0,Kids for Cash,2014,"['Drama', 'Crime', 'Documentary', 'News']"
kids in america,1,,7.9,,65.0,Kids in America,2005,"['Drama', 'Comedy']"
kids in the hall brain candy,1,,,3.3,,Kids in the Hall: Brain Candy,1996,['Comedy']
kika,1,,,2.0,,Kika,1993,"['Comedy', 'Drama']"
kika,2,,,,71.0,Kika,,"['Art House & International', 'Comedy', 'Drama']"
kiki,1,,7.3,,52.0,Kiki,2017,['Documentary']
kiki s delivery service,1,,8.7,4.1,88.0,Kiki's Delivery Service,1989,"['Adventure', 'Drama', 'Fantasy', 'Animation', 'Family']"
kikujiro,1,,,3.7,,Kikujiro (Kikujirô no natsu),1999,"['Comedy', 'Drama']"
kikujiro,2,,,,92.0,Kikujiro,,"['Art House & International', 'Comedy', 'Drama']"
